aachen	a khen
bactriane	bác tri an
badile	ba đan
baeck	bếch
baekeland	ba kê lan
baghdad	bát đa
bagration	ba gờ ra ti ôn
bahamas	ba ha ma
bahrein	ba ranh
bailey	bai lây
baird	be ớt
bairiki	bai ri ki
bajie	bát
bajkal	bai can
bajsuntau	bai xun tau
baker	bây cơ
bakst	bắc xờ tơ
baktrija	bác tri gia
baku	ba cu
bakulev	ba cu lép
balandin	ba la đin
balboa	ban boa
bali	ba li
balkan	ban căng
balla	ba la
bally	ba li
baltea	ban tê a
baltic	ban tích
bamako	ba ma cô
bambari	băm ba ri
banach	ba nắc
bandeira	ban đây ra
bangkok	băng cốc
bangladesh	băng la đét
bangui	ban ghi
banja	ban gia
banjul	ban giun
bantu	ban tư
baptiste	báp tít
barbizon	bắc bi giông
barcelona	bác xê lô na
barents	ba ren
barguzin	bác gu gin
barito	ba ri tô
barmen	bác men
barnett	ba nét
baronova	ba rô nô va
barquisimeto	bác ki xi mê tô
barranquilla	ba ran ki li a
barsova	bác xô va
barth	ba thơ
bartholomen	bác tô lô men
barye	ba ri
bassa	ba xa
bassoutos	ba sao tót
basstial	bát ti an
bastiat	bát sờ ti át
bastide	bát tai
bastille	bát sờ theo
basutoland	ba xu tô len
bathurst	ba thớt
batista	ba ti xờ ta
batna	bát na
battambang	bát tam bang
batumi	ba tu mi
baty	ba ti
baudot	bô đốt
bauer	bao ơ
bay	bay
bayinnaung	bay i na ung
bazaine	ba gien
bazhov	ba giốp
bazin	ba gin
beatrice	bít rai
beau	bô
beaumarchais	biu ma chai sờ
bechuanaland	bê choa nơ len
beckmann	béc man
becva	bếch va
bedredin	bê đờ rê đin
beecher	bi chơ
beethoven	bét tô ven
begawan	bê ga oan
begin	bê ghin
beilstein	bai sờ tai nơ
beiping	bê bing
bekaa	bê ca
bekhterev	bê khơ tê rép
belarus	bê la rút
belding	ben đinh
belfort	ben phót
belinskij	bê lin xờ ki
bell	ben
bellinni	bê li ni
bellinsgauzen	ben lin sờ gau gien
bellow	bê lô
belo	bê lu
beltrami	ben tra mi
belukha	bê lu kha
benardos	bê nát đót
benavente	bê na ven tê
benedict	bê nê đích
bengale	ben gan
benguela	ben ghê la
bentham	ben thơm
benton	ben tơn
benveniste	ben vê nít
beograd	bê ô gờ rát
beranger	bê ran gơ
berg	béc gơ
bergerac	béc giơ rắc
bergius	bét ghi út
bergson	béc xơn
bering	bê rinh
berkeley	béc cơ ly
berle	bơ li
berlin	béc lin
bernard	béc nát
bernoulli	béc nu li
berthelot	béc tơ lót
bertoia	béc tôi a
bertrand	béc trăng
bessarabija	bét sa ra bi da
bessmertnova	bét sờ mét nô va
betio	bê ti ô
beveredge	bi vơ rít
beyrouth	bây rút
bezacier	bê gia xi ê
bhaktapur	bờ hác ta bu a
bhaunagar	bờ hau na ga
bhutan	bu tan
bhutto	bút tô
bian	bi an
biermer	bia mơ
bihar	bi ha
bija	bi gia
bikinibeu	bi kê ni bê u
binet	bi nét
binga	bin ga
birkhoff	bơ khô phơ
birkirkara	bớc ka ra
biscay	bít sờ cay
bishkek	bít sờ kếch
bishop	bi sốp
biskupin	bi xờ cu bin
bismarck	bi xờ mác
bitola	bi tô la
bizantine	bi giăng tin
bizet	bi giét
blackett	bờ léc két
blackton	bờ lách tơn
blagoev	bờ la gô ép
blalock	bờ la lóc
blanc	bờ lăng
blanqui	bờ lăng ki
bloembergen	bờ lum bơ gơn
blois	bờ loi sờ
blommestein	bờ lôm me xờ tê in
blondel	bờ lông đen
blonskij	bờ lôn sờ ki
bloomfield	bờ lum phiu
bobo	bô bô
boccherini	bốc kê ri ni
boccioni	bô chi ô ni
bocharov	bô cha rốp
bochum	bô cham
bodensee	bô đen si
bodin	bô đin
bodoni	bô đô ni
bogdanov	bốc đa nốp
bogomolec	bô gô mô lét
bogor	bô gô
boileau	boi lô
boisguilbert	bô i ghin bớt
boito	boa tô
bojer	bô giơ
bolivar	bô li va
bolivia	bô li vi a
bologna	bô lô nha
boloven	bô lô ven
bolshevich	bôn xê vích
boltzmann	bôn giơ man
bolyai	bô li ai
bombay	bom bay
bonaire	bô ne
bonanza	bô nan gia
bonaparte	bô na bác
bondarev	bôn đa rép
bonesana	bon sa na
bonifacio	bô ni pha xi ô
bonnard	bon na
bonnet	bon nét
borda	bót đa
borglum	bo gờ lum
boriskovskij	bô rít cốp sờ ki
borlaug	bô lao
borobudur	bô rô bu đua
borodino	bô rô đi nô
boron	bô rông
bosche	bô sơ
bose	bô dơ
bosio	bô si ô
bosnian	bô xờ ni a
boston	bốt sờ tơn
botha	bô tha
botswana	bót sơ qua na
bouchet	bu sê
boudon	bu đông
bougainville	bu ganh vin
bouguer	bu ghê
bourbaki	buốc ba ki
bourdieu	buốc đi ơ
bourgogne	buốc gô nhơ
bourguignon	búc ghin dông
bournonville	bua nông vin
boveri	bô ve ri
boyle	bôi
boz	bô giơ
brabant	bờ ra ban
brad	bờ rát
bragg	bờ ra gơ
brahman	bờ ra man
brahmaputra	bờ ra ma bu tra
brahms	bờ ram sờ
brantas	bờ ran tát
braque	bờ ra cơ
bratislava	bờ ra ti xờ la va
brattain	bờ ra ten
braudel	bờ rô đen
braunau	bờ rao nao
bravais	bờ ra vát sờ
brecht	bờ rếch
bremle	bờ rem lơ
bretagne	bờ rê tan
breton	bờ rơ tông
breuil	bờ rơi
brezhnev	bờ rê giơ nép
briand	bờ ri ăng
bridgman	bờ rít men
briggs	bờ rít
brightman	bờ rai men
brihaspati	bờ ri ha xờ ba ti
brillouin	bờ ri lo in
brisbane	bờ rít sờ bân
brissot	bờ rít sốt
britannicus	bờ ri ta ni cút
brjullov	bờ riu lốp
brno	bờ rơ nô
broad	bờ rơ út
brodskij	bờ rốt xờ ki
broglie	bờ róc li
bromwer	bờ rom vơ
brooklyn	bờ rút cờ lin
broom	bờ rum
brother	bờ ra đơ
brouwer	bờ rau ơ
bruckner	bờ rúc nơ
brugmann	bờ rút man
bruhl	bờ ruyn
brunauer	bờ ru nau ơ
bruno	bờ ru nô
bryen	bờ ri ăng
buala	bua la
bubnov	búp nốp
buchner	búc nơ
budapest	bu đa bét
buffet	búp phê
buffon	búp phông
bukhara	bu kha ra
bukharin	bu kha rin
bukhtarma	bút ta ma
bukit	bu kít
bukovina	bu cô vi na
bulawayo	bu lau ây ô
bulgaria	bun ga ri a
bundy	bân đi
bunin	bu nin
bunsen	bun sen
bureja	bu rây a
burgas	bua gát
burlitobe	bua li tô bê
burne	bơn
burundi	bu run đi
busan	bu san
bush	bu sơ
bushmen	bu xơ men
butare	bu ta rê
butlerov	bút lê rốp
byblos	bi bờ lốt
byrranga	bi ran ga
byzance	bi gian xơ
cabet	ca bét
calais	ca lay xờ
calcutta	can cút ta
calder	can đơ
caldwell	con queo
califonia	ca li pho ni a
california	ca li pho ni a
caligari	ca li ga ri
calliao	ca li ao
calliope	ca li ốp
calvin	can vin
camargo	ca mác gô
cambay	cam bay
cambridge	cam bờ rít
cambyse	cam bi sờ
camera	ca mê ra
camilla	ca min la
campanella	cam ba ne la
campania	cam pa ni a
canada	ca na đa
canaria	ca na ri a
canarias	ca nê ri át
canaveral	ca na vơ ran
candia	can đi a
cantal	căng tan
canterbury	can tơ bơ ry
cantor	can tô
cap	cáp
cape	kép
capet	ca bét
capierne	ca bi ân
capri	cáp ri
caravaggio	ca ra va giô
cardamomes	các đa môm
cardano	các đa nô
cardiff	các đíp
cardoza	các đô gia
carducci	các đu chi
carl	các lơ
carlo	các lô
carlos	các lốt
carnap	các náp
carnaval	các na van
carnot	ca nốt
carolines	ca rô lin
carpeaux	các bô
carrantuohill	ca ran tu o hin
carrefour	ca rơ pho
carrousel	ca ru xen
carstens	các sờ ten
cartagena	các ta gi na
cartal	các tan
cartan	các tan
carter	ca tơ
cartier	các ti ơ
casablanca	ca sa bờ lan ca
casals	ca gian
casamance	ca xa măng xơ
caspien	ca xờ bi
castiglione	cát sờ ti li ô nê
castilla	cát ti la
castille	ca xờ tin
castro	cát xờ trô
catbalogan	cát ba lô gan
cauchy	cô si
cavally	ca va li
cavendish	ca ven đi sờ
cayenne	cay en
chajkovskij	chai cốp sờ ki
cham	cham
chamberlain	cham bơ len
chandragupta	chan đờ ra gúp ta
chardzhou	chác giâu
charles	sắc lơ
cheboksarov	chê bốc xa rốp
checchi	chéch ki
chekhov	chê khốp
cheljabinsk	chê li a bin xờ cơ
cherbury	chơ be ri
cherenkov	chê ren cốp
cherskij	chét sờ ki
chey	chây
chiang	chi eng
chikamatsu	chi ka mát xư
childe	chai đơ
chile	chi lê
chinitt	chi nít
chita	chi ta
chittagong	chít ta gông
chomolungma	chô mô lung ma
chomsky	chôm xờ ki
chorreras	cho rê rát
christan	cờ rít xờ tân
christiansborg	cờ rít ti an bót
christmas	cờ rít mớt
chrjew	cờ riu
chuja	chui a
chukhraj	chu khơ rai
chukotskoe	chu kốt
chuquisaca	chu ki xa ca
clair	cờ le
claisen	cờ lai gien
clara	cờ la ra
clarke	cờ lác
claude	cờ lốt
claudius	cờ lao đi út
clermont	cờ léc môn
cleve	cờ le vơ
cleveland	cờ li vơ lân
clinton	cờ lin tơn
clio	cờ li ô
close	cờ lâu giơ
clovis	cờ lô vít
coase	cốt sờ
cobbett	cốp bét
cochabamba	cô cha bam ba
cocteau	cốc tô
coimbra	cô im bờ ra
collier	cô li ê
colm	côn mơ
colombia	cô lôm bi a
colorado	cô lô ra đô
columbia	cô lum bi a
columbus	cô lum bớt
compton	com tơn
conakry	cô na cờ ri
congar	công ga
constable	con sờ tây bồ
constantine	công sờ tăng tin
constantinople	công xờ tăng ti nốp
cooley	cu li
cooper	cu bơ
copeau	cô bô
copenam	cô bê nam
coppola	cô pô la
corelli	cô rê li
coromandel	cô rô man đen
corot	cô rốt
corozal	cô rô gian
corrse	cóc xơ
cortez	cót tét
corti	cót ti
cos	cốt sờ
costa	cô xờ ta
cotonou	cô tô nu
cotopaxi	cô tô ba xi
coubertin	cau béc tin
courbet	cuốc bê
courcy	cuốc xi
couvelaire	cu vơ le
cowper	cao bơ
cranach	cờ ra nắc
crassus	cờ rát sút
cremona	cờ rê mô na
creusot	cờ ru sốt
croatia	cờ rô a ti a
cruz	cờ ru giơ
cuba	cu ba
cubango	cu ban gô
cuellar	cu ê la
cunha	cun ha
custou	cu xờ tu
cuvier	cu vi ê
cuzco	cu sờ cô
daud	đa út
edmond	ét  mông
edmonton	ét mơn tơn
edo	ê đô
edward	ét quớt
edy	ê đi
eero	e ê rô
eesti	ét sờ ti
ehrlich	e rơ lít
ekman	éc man
elburz	eo bớt
ellesmere	en lét me rơ
emerson	e mơ xơn
emmett	em mét
ems	em xơ
ensor	en xo
epstein	ép sờ ten
ergotimos	éc gô ti mốt
erik	e rích
erlangga	ét lang ga
ermitage	éc mi ta giơ
ernst	ơn sờ tơ
erzgebirge	ơ gia bớt
esaki	ê xa ki
escaldes	ét can đét
escaud	ê xờ cô
espoo	ê xờ bô
estrada	ét sờ tra đa
estuaire	ét chơ
eustacchius	ét xờ tác ki út
evans	y van
everglades	ê vơ gờ lát
eyre	e rơ
fajans	phai an
fakaofo	pha cao phô
falla	pha la
falls	phôn
falster	phan xờ te
family	pha mi ly
farabundo	pha ra bun đô
faraday	pha ra đây
farouk	pha rúc
faulkner	phóc nơ
fedoseev	phê đô xê ép
feininger	pha in nin gơ
feldhofer	phen hô phơ
feling	phê linh
fellini	phê li ni
ferdinand	phét đi năng
fermat	phéc ma
fermi	phéc mi
fernandel	phét năng đen
ferrarais	phe rơ rây
ferrari	phe ra ri
ferraris	phê ra rít
ferry	phe ri
feuerbach	phoi ơ bắc
feynman	phây man
fianarantsoa	phi a na ran xoa
fibonacci	phi bô na xi
fichte	phích tơ
fick	phích
fidel	phi đen
field	phiu
fielding	phiu đinh
filatov	phi la tốp
fillastre	phi lát sờ tơ
fillia	phi li a
filocles	phi lốc lét
finlay	phin lây
fisher	phi sơ
flandre	phờ lăng đờ rơ
flandres	phờ lan đờ rơ
flaubert	phờ lô bớt
fleming	phờ le minh
flensburg	phờ len bớt
florentia	phờ lo ren ti a
florida	phờ lo ri đa
fokin	phô kin
fonda	phôn đa
fongafale	phăng ga phon
fontainebleau	phông ten nơ bờ lô
fort	phót
fortaleza	phót ta lê gia
fortunatov	pho tu na tốp
foscolo	phốt sờ cô lô
foster	phốt tơ
fourmont	phua mông
fowler	phao lơ
france	phờ răng xơ
francesco	phờ ran xét cô
francisco	phờ ran xít cô
francistown	phờ ran xi xờ thao
franck	phờ ran cơ
franco	phờ ran cô
frank	phờ răng cơ
frankel	phờ ran ken
frankfurt	phờ răng phớt
franko	phờ răng cô
franz	phờ ran xơ
fraunhofer	phờ rao hô phơ
fredensborg	phờ rê đen sờ bót
frederic	phờ rê đê rít
freiligrath	phờ rây li gờ rát
frenet	phờ rê nét
fresnel	phờ rét nen
friedel	phờ rít đen
friedmann	phờ rít man
friesland	phờ ri ét len
frobisher	phờ rô bi sơ
froude	phờ rút
fukui	phu cui
fukuoka	phư cư ô ca
fulton	phun tơn
funafuti	phu na phu ti
funchal	phun san
futa	phu ta
futuna	phu tu na
gadolin	ga đô lin
gainsborough	gen sờ bo rô
galbraith	gon bờ rết
galien	ga li en
galilei	ga li lê
gama	ga ma
gance	găng xơ
gandhi	gan đi
garamond	ga ra mông
garcia	gác xi a
garfagnana	gác phan ha na
garnier	gác ni ơ
garoua	gu rua
garuda	ga ru đa
gaspe	ga xờ bơ
gassendi	ga sen đi
gatchina	gát chi na
gathrie	ga thơ ri
gauguins	gao gan
gaule	gô lơ
gaulle	gôn
gavroche	ga vơ rốt
gaya	gay a
geba	ghi ba
geiami	gây a mi
geliang	ghe li ang
gelibolu	ghê li bô lu
genouilly	gie nu i ly
genova	giê nô va
gensfleisch	gien sờ phờ léch
gentzen	ghen xen
georg	giót giơ
gerasimov	ghê ra si mốp
gershwin	gơ sờ uyn
gestapo	gê sờ ta bô
ghiorso	ghi ô xô
ghirlandaio	ghi a lan đai ô
ghose	gô giờ
giaever	gia ê vơ
gibbs	ghíp xơ
gide	gi đơ
gilbert	ghiu bớt
ginzburg	ghin giơ bớt
gio	giô
girardon	gi rác đông
giraudoux	gi rô đu
girolamo	ghi rô la mô
girondins	ghi rông đin
gisenyi	ghi xê ni
giulia	giu li a
giuseppe	giu đép bê
gizeh	ghi giê
glarisegg	gờ la ri xéc
glasgow	gờ la xờ gâu
glashow	gờ lát sô
gleizes	gờ lai giơ
glen	gờ len
glendenin	gờ len đơ nin
glier	gờ li e
glinka	gờ lin ca
glomma	gờ lôm ma
gluck	gờ lúc
go	gô
gobelins	gô bơ lanh
goebbels	gốp beo sờ
goethe	gu ê thơ
goldmann	gôn man
goldoni	gôn đô ni
goldschmidt	gôn sờ mít
goldsmith	gôn sờ mít
golgi	gôn ghi
golovin	gô lô vin
gonder	gôn đơ
gondwana	gon va na
goodman	gút men
gorgias	gót giát
gorkij	gót ki
gorky	gót ky
gorlo	gót lô
gorman	gô mân
gosainthan	gô xa in than
gothique	gô tích
goujon	gu giông
gounod	gu nót
goya	gô da
gozo	gô giô
graham	gờ rây am
grampian	gờ ram bi an
granada	gờ ra na đa
granados	gờ ra na đốt
granet	gờ ra nét
granique	gờ ra ních
grant	gờ ran
graves	gờ ra vơ
grebo	gờ rê bô
green	gờ rin
greenland	gờ rin len
greenwich	gờ rin quýt
grenada	gờ rê na đa
grenadine	gờ rê na đin
gresham	gờ rê sam
griboedov	gờ ri bô ê đốp
grieg	gờ rít gơ
griffin	gờ ríp phin
griffith	gờ ri phít
grisi	gờ ri di
gromaire	gờ rô me
groote	gờ rút
gropius	gờ rô bi út
gros	gờ rốt
grotewohl	gờ rô tơ vôn
grothendieck	gờ rô then đích
gruzija	gờ ru gi a
guadalajara	gu a đa la ha ra
guadalcanal	go a đơn ca nan
guam	gu am
guarneri	gác nê ri
guayaquil	goa da kin
guiba	ghi ba
guido	gui đô
guillaume	ghi lôm
guillotin	ghi ô tanh
guinea	ghi nê
guiraud	ghi rô
gulf	gơn
gulu	gu lu
gunn	gan
gustave	gu xờ ta vơ
guttuso	gút tu sô
guyane	guy an
guyot	guy ốt
gwebb	gu ép
gweru	gu ê ru
gydan	gai đan
gyokudo	ghi ô cu đô
gyumri	ghi um ri
habermas	ha bơ mát sờ
habichtsburg	ha bít xờ bớt
hadden	ha đen
haeckel	hắc ken
hahn	han
hajdarabat	hai đa ra bát
haken	ha ken
halicarnasse	ha li ca na xờ
hall	hôn
halle	ha lơ
hallowell	ha lâu quen
hals	han xơ
halys	ha lít
hamary	ha ma ri
hamburg	ham bớt
hamilton	ha min tơn
hamsun	ham xun
hanka	han ca
hannover	han nô vơ
hanyang	han dang
hargeysa	hác gây sa
harkins	hác kin
harmand	hác man
harper	hác bơ
harris	ha rít
harsa	hác sa
hartley	hác lây
hartmann	hác man
hartung	hác tung
harvard	ha vớt
harvey	ha vi
hassel	hát sen
hatta	hát ta
hatti	hát ti
hattusa	hát tu xa
hauptmann	hốp man
haveluloto	ha vê lu lô tô
hayek	hay éc
heaviside	hê vi sai
heawood	hê gút
hebrides	hê bờ rít
hector	héc tô
hedjaz	hét gia
hegel	hê ghen
heger	hê gơ
heian	hây an
heisenberg	hai đen bớt
heitler	hai lơ
helena	hê lê na
helespone	hê lê xờ bôn
helicon	hê li công
heling	he ling
helios	hê li ốt
hellinikon	hê li ni côn
helmholtz	hem hôn
helsinki	hen xin ki
hemingway	hê minh quây
henri	hen ri
henry	hen ri
hepworth	hép quớt
herbart	héc bác
herder	héc đơ
heredia	hê rê đi a
herman	héc men
hermite	héc mít
hermon	héc môn
heron	hê rôn
hertz	héc
hess	hét sờ
hevesy	hê vê sy
heynowski	hây nao sờ ki
hicks	hít sơ
hildebrand	hin đơ bờ ran
hilferding	hin phéc đinh
hillaby	hi la bi
hillary	hiu lơ ri
hilverding	hin phéc đinh
himalaya	hi ma lay a
himmler	him lơ
hindenburg	hin đen bớt
hindu	hin đu
hinshelwood	hin seo gút
hipparkhos	híp bác khốt
hippocrate	híp bốc rát
hippolutos	híp bô lu tốt
hirado	hi ra đô
hironaka	hi rô na ca
his	hít
hitchcock	hít cóc
hittites	hít tít sờ
hlag	hu la gu
ho	hơ
hobbes	hốp xơ
hoboken	hô bô cơn
hodgkin	hốt kin
hofmannsthal	hốp man xờ than
hohe	hô hơ
hokkaido	hóc cai đô
holbach	hôn bách
holberg	hôn bớt
homs	hom xơ
honam	hô nam
honecker	hô nếch cơ
honiara	hô ni a ra
hooft	hốp tơ
hoover	hu vơ
hopper	hốp bơ
horatius	hô ra ti út
horn	hon
horowitz	hô rô vít
horsham	ho sam
horthy	hót ti
horton	ho tơn
houston	hao sờ tơn
howard	ho quát
huambo	hu am bu
hubble	húp bô
hudson	hút xơn
huhhot	hu hốt
humboldt	hum bôn
humphrey	hăm phờ ry
huron	hu rôn
huss	hút
husserl	hút xen
huston	hút xờ tơn
hutcheson	hắt chi sơn
hutton	hớt tơn
huxley	hơ xờ ly
huygens	huy ghen
huysmans	huy sờ man
hviezdoslav	hơ vi ét đót sờ láp
hyderabad	hai đơ ra bát
hystaspes	hi sờ tát sờ bê
iaxarte	la xác
iberique	i bê rích
ibn	i bơ
ibsen	íp sen
idris	i đờ rít
idrus	i đờ rút
ife	i phê
ifni	íp ni
igarka	i gác ca
ijselmeer	i xen me
ijssel	i xen
ilissos	i li xốt
iloilo	i lôi  lô
imhotep	im hô tép
imperator	im bơ rây tơ
inchon	in chơn
indalslven	in đan sen ven
indiana	in đi a na
indostan	in đốt sờ tan
indravarman	in đờ ra vác man
ingold	in gôn
ingria	ing ri
inigo	i ni gô
innocentius	in nô xen ti út
innsbruck	in xơ bờ rúc
inquart	in quát
ioffe	i ô phê
ionie	i ô ni
ios	lốt
iquitos	i ki tốt
irbid	ơ bít
irishun	i ri sun
irrawaddy	i ra quát đi
isaacs	i giắc
isaakievskij	i sa ki ép sờ ki
isabella	i sa ben la
isla	i sờ la
ismail	i sờ meo
issarak	i xa rắc
issyk	i sít
istanbul	ít tan bun
italiana	i ta li a na
ivanov	i va nốp
izalco	i xan cô
izhma	i giơ ma
izmir	i giơ mi a
jakovson	gia cốp sơn
jamaica	gia mai ca
james	giem
jamuna	gia mu na
jaspers	giáp bơ
jaya	gia da
jayavarman	gia da vác man
jeans	gin sờ
jeantet	gin tét
jeddah	giét đa
jefferson	gie phơ xơn
jehovah	giê hô va
jelgava	gien ga va
jenner	gien nơ
jensen	gian xen
jericho	giê ri cô
jersey	giơ xi
jespers	gie xờ bơ
jevons	giê von
jhelum	giê lum
jinja	gin gia
johannesburg	giô han nét xờ bớt
johnson	giôn xơn
johor	giô hô
joliot	giô li ô
jolivet	giô li vê
jordan	giót đan
josephson	giô sép sơn
joule	giun
jouver	giu vơ
jubal	giu ban
jules	giu lét
julius	giu li út
junger	giân gơ
jupiter	giu bi tơ
justanian	giu xờ ta ni a
justinianus	giu xờ ti ni a nút
jutland	giút lan
juventud	giu ven tút
kabila	ca bi la
kahler	ca lơ
kalahari	ka la ha ri
kaledin	ca lê đin
kalemegdan	ca lê méc đan
kalimantan	ca li man tan
kalinga	ca lin ga
kalinin	ca li nin
kalmar	kan ma
kama	ca ma
kamakura	ca ma cu ra
kamchatka	cam chát ca
kamerlingh	ca méc linh
kamheng	cam heng
kammu	cam mu
kanchenjunga	can chen giun ga
kandinskij	kan đin xờ ki
kandla	can đờ la
kanpur	can bua
kansai	can sai
kansas	can giát
kant	can tơ
kanva	kan va
kaolack	cao lắc
kapica	ca ba ca
kara	ca ra
karachi	ka ra chi
karajan	ca rai an
karakorum	ca ra cô rum
karakum	ca ra cum
kardiner	các đi nơ
kariba	ca ri ba
karimata	ca ri ma ta
kariora	ca ri ô ra
karl	các lơ
karlovy	các lô vy
karmal	các man
karol	ca rôn
karpates	các bát
kartini	các ti ni
karuai	ca ru ai
karwendel	các ven đen
kassal	cát san
katay	ca tay
kateb	ca tép
katun	ca tun
kavkaz	cáp ca giơ
kawasaki	ca qua sa ki
kazakh	ka giắc
kazan	ca gian
kazuo	ca giu ô
kebnekaise	kép nờ cai sờ
keisern	cay sơn
kelani	kê la ni
kelanta	kê lan ta
keller	kê lơ
kemal	kê man
kemusu	kê mu xu
kenema	ke nê ma
kenyatta	kê ni át ta
keobunphan	keo bun phan
kepler	kếp lơ
kerchen	kéc chen
kerchensteiner	két khen sờ ten nơ
kerki	kéc ki
keynes	cây nơ
khalifah	kha li pha
kharkov	khác cốp
kherson	khơ sần
khieu	khiêu
khingan	khin gan
khiva	khi va
khler	ke lơ
khmer	khơ me
khorat	kho rát
khorezmi	khô re giơ mi
khorsabad	kho sa bát
khrapchenko	khơ ráp chen cô
khudjand	khút gian
khulna	khun na
