a'marie	ಅಮಾರೀ
abdus shakur	ಅಬ್ದುಸ್ ಶಕೂರ್
abeera	ಅಬೀರಾ
abel prize	ಏಬೆಲ್ ಪ್ರೈಜ್
aberdare	ಅಬೆದಾರೆ
aberdeen	ಅಬರ್ಡೀನ್
abhaipur	ಅಭಯ್‌ಪುರ್
abhay	ಅಭಯ್
abhaya	ಅಭಯ
abhayananda	ಅಭಯಾನಂದ
abhaynanda	ಅಭಯ್‌ನಂದ
abheek	ಅಭೀಕ್
abheer	ಅಭೀರ್
abheeru	ಅಭೀರು
abhibhav	ಅಭಿಭಾವ್
abhidi	ಅಭಿದಿ
abhihit	ಅಭಿಹಿತ್
abhijaty	ಅಭಿಜಾತ್ಯ
abhijit kale	ಅಭಿಜಿತ್ ಕಾಳೆ
abhijvaalaa	ಅಭಿಜ್ವಾಲಾ
abhijvalaa	ಅಭಿಜ್ವಲಾ
abhimaan	ಅಭಿಮಾನ್
abhimanyu	ಅಭಿಮನ್ಯು
abhimanyusut	ಅಭಿಮನ್ಯುಸುತ
abhinabhaas	ಅಭಿನಭಾಸ್
abhinabhas	ಅಭಿನಭಾಸ್
abhinanda	ಅಭಿನಂದಾ
abhinandaa	ಅಭಿನಂದಾ
abhinav	ಅಭಿನವ್
abhiroop	ಅಭಿರೂಪ್
abhiru	ಅಭೀರು
abhirup	ಅಭಿರೂಪ
abhishek	ಅಭಿಷೇಕ್
abhishok	ಅಭಿಶೋಕ್
abhishoka	ಅಭಿಶೋಕ
abhisok	ಅಭಿಶೋಕ್
abhisoka	ಅಭಿಶೋಕ
abhisumat	ಅಭಿಸುಮತ್
abhisyant	ಅಭಿಷ್ಯಂತ್
abhisyanta	ಅಭಿಷ್ಯಂತ
abhr	ಅಭ್ರ
abhyagni	ಅಭ್ಯಗ್ನಿ
abhyankar	ಅಬ್ಯಂಕರ್
abhyuday	ಅಭ್ಯುದಯ್
abhyudita	ಅಭ್ಯುದಿತಾ
abington	ಅಬಿಂಗ್ಟನ್
abnoor	ಅಬ್ನೂರ್
abnur	ಅಬ್ನೂರ್
abohar	ಅಬೋಹರ್
abou ben adhem	ಅಬು ಬೆನ್ ಅಧೇಮ್
abrad	ಅಬ್ರಾದ್
abrar	ಅಬ್ರಾರ್
abrash	ಅಬ್ರಾಶ್
absaroka	ಅಬ್ಸಾರೊಕಾ
absi	ಅಬ್ಸಿ
abundant life christian fellowship	ಅಬಂಡಂಟ್ ಲೈಫ್ ಕ್ರಿಶ್ಚಿಯನ್ ಫೆಲೊಶಿಪ್
abyad	ಅಬ್ಯಾದ್
achaaryanandana	ಆಚಾರ್ಯನಂದನ
achaarynandan	ಆಚಾರ್ಯನಂದನ್
achaarynandana	ಆಚಾರ್ಯನಂದನ
achalda	ಅಚಲ್ಡಾ
achaleshvar	ಅಚಲೇಶ್ವರ್
achaleshwara	ಅಚಲೇಶ್ವರ
achalesvar	ಅಚಲೇಶ್ವರ್
achalesvara	ಅಚಲೇಶ್ವರ
achaleswara	ಅಚಲೇಶ್ವರ
achalganj	ಅಚಲ್‌ಗಂಜ್
achanak	ಅಚಾನಕ್
achand	ಅಚಂದ್
acharyanandanaa	ಆಚಾರ್ಯನಂದನಾ
acharyasut	ಆಚಾರ್ಯಸುತ
acharyasuta	ಆಚಾರ್ಯಸುತ
acharynandan	ಆಚಾರ್ಯನಂದನ್
acharynandana	ಆಚಾರ್ಯನಂದನ
acharysuta	ಆಚಾರ್ಯಸುತ
achille	ಅಕಿಲೆ
achindra	ಅಚಿಂದ್ರ
achinty	ಅಚಿಂತ್ಯ
achintya	ಅಚಿಂತ್ಯ
achyutaraay	ಅಚ್ಯುತರಾಯ
achyutraay	ಅಚ್ಯುತರಾಯ
acropolis museum	ಆರ್ಕೋಪೊಲೀಸ್ ಮ್ಯೂಸಿಯಂ
actions semiconductor	ಆಕ್ಷನ್ಸ್ ಸೆಮಿಕಂಡಕ್ಟರ್
activity	ಆಕ್ಟಿವಿಟಿ
actress	ಆಕ್ಟ್ರೆಸ್
actun kaua	ಆಕ್ಟುನ್ ಕಾವಾ
adair	ಅಡೈರ್
adalarasu	ಅದಲರಸು
adam bacher	ಆದಂ ಬ್ಯಾಚರ್
adarshi	ಆದರ್ಶಿ
adawi	ಅದಾವಿ
adbul qawi	ಅಬ್ದುಲ್ ಕಾವಿ
addis ababa	ಅಡ್ಡಿಸ್ ಅಬಾಬಾ
addo elephant	ಅಡೋ ಎಲಿಫೆಂಟ್
adele	ಅಡೀಲ್
adelie	ಅಡೆಲೀ
adesh	ಆದೇಶ್
adgaon buzurg	ಅದಗಾಂವ್ ಬುಜುರ್ಗ್
adheeraa	ಅಧೀರಾ
adhikari	ಅಧಿಕಾರಿ
adhiwar	ಅಧಿವರ್
adhokshaj	ಅಧೋಕ್ಷಜ
adidas	ಆಡಿಡಾಸ್
adilabad	ಅದಿಲಾಬಾದ್
adimoorti	ಆದಿಮೂರ್ತಿ
adimurti	ಆದಿಮೂರ್ತಿ
adinaaraayan	ಆದಿನಾರಾಯಣ
adinaarayan	ಆದಿನಾರಾಯಣ
adipur	ಆದಿಪುರ್
adishree	ಆದಿಶ್ರೀ
aditpara	ಅದಿತ್‌ಪರಾ
adityapur	ಆದಿತ್ಯಾಪುರ್
adityavardhan	ಆದಿತ್ಯವರ್ಧನ್
adiy	ಅದಿಯ್
adlabs films	ಆಡ್‌ಲ್ಯಾಬ್ ಫಿಲ್ಮ್ಸ್
adolf hitler	ಅಡಾಲ್ಫ್ ಹಿಟ್ಲರ್
adolfo	ಆಡಾಲ್ಫೋ
adolph	ಅಡಾಲ್ಫ್
adoni	ಆದೋನಿ
adonia	ಅಡೋನಿಯಾ
adonica	ಅಡೋನಿಕಾ
adonis	ಅಡೋನಿಸ್
adora	ಅಡೋರಾ
adrian	ಅಡ್ರಿಯಾನ್
adriano	ಅಡ್ರಿಯಾನೊ
adrienne	ಎಡ್ರೀನ್
adrika	ಅದ್ರಿಕಾ
advaaki	ಅದ್ವಾಕೀ
advay	ಅದ್ವೇ
advent christian	ಆಡ್ವೆಂಟ್ ಕ್ರಿಶ್ಚಿಯನ್
adwaakee	ಅದ್ವಾಕೀ
adwakee	ಅದ್ವಾಕೀ
adwaki	ಅದ್ವಕಿ
ady	ಎಡಿ
aegon	ಏಗಾನ್
aerobics	ಏರೋಬಿಕ್ಸ್
aetna	ಏಟ್ನಾ
afaf	ಅಫಾಫ್
afafura	ಅಫಾಫುರಾ
afasaanaa	ಅಫಸಾನಾ
afasana	ಅಫಸಾನಾ
afdal	ಅಫ್ದಲ್
afeerah	ಅಫೀರಾ
afghani	ಅಫ್ಘಾನಿ
afghanistan	ಅಫ್ಘಾನಿಸ್ತಾನ್
afif	ಅಫೀಫ್
aflah	ಅಫ್ಲಾ
aflatoon	ಅಫಲಾತೂನ್
aflatoon aurat	ಆಫಲಾತೂನ್ ಔರತ್
afra	ಅಫ್ರಾ
afroze	ಅಫ್ರೋಜ್
afsana pyar ka	ಅಫ್ಸಾನಾ ಪ್ಯಾರ್ ಕಾ
afsar	ಅಫ್ಸರ್
aftab	ಅಫ್ತಾಬ್
agaalia	ಅಗಾಲಿಯ
agaatha	ಅಗಾಥ
agape	ಅಗಾಪೆ
agar tum na hote	ಅಗರ್ ತುಮ್ ನಾ ಹೋತೆ
agartala	ಅಗರ್ತಲಾ
agasti	ಅಗಸ್ತಿ
agathaa	ಅಗಥಾ
agaton fort	ಅಗಟಾನ್ ಫೋರ್ಟ್
agent	ಏಜೆಂಟ್
agent vinod	ಏಜೆಂಟ್ ವಿನೋದ್
agharr	ಅಗರ್
agnee	ಅಗ್ನಿ
agneepath	ಅಗ್ನಿಪಥ್
agni chakra	ಅಗ್ನಿ ಚಕ್ರ
agni morcha	ಅಗ್ನಿ ಮೋರ್ಚಾ
agni prem	ಅಗ್ನಿ ಪ್ರೇಮ್
agni rekha	ಅಗ್ನಿ ರೇಖಾ
agnij	ಅಗ್ನಿಜ್
agnija	ಅಗ್ನಿಜ
agnikaal	ಅಗ್ನಿಕಾಲ್
agosh	ಆಗೋಶ್
agra	ಆಗ್ರಾ
agra fort	ಆಗ್ರಾ ಫೋರ್ಟ್
agrapoojy	ಅಗ್ರಪೂಜ್ಯ
agrawal	ಅಗರ್‌ವಾಲ್
agrimaa	ಅಗ್ರಿಮಾ
ahalya	ಅಹಲ್ಯಾ
ahamad	ಅಹಮದ್
ahilyaa	ಅಹಿಲ್ಯಾ
ahindra	ಅಹೀಂದ್ರ
ahinsa	ಅಹಿಂನ್ಸಾ
ahlaadit	ಆಹ್ಲಾದಿತ್
ahladit	ಆಹ್ಲಾದಿತ್
ahmad al-arabi al-darqawi	ಅಹಮದ್ ಅಲ್-ಅರಾಬಿ ಅಲ್-ದರ್ಖಾವಿ
ahmadgarh	ಅಹಮದ್‌ಗಢ್
ahmar	ಅಹ್ಮರ್
ahobilam	ಅಹೋಬಿಲಂ
ahwanit	ಆಹ್ವಾನಿತ್
ahwas	ಅಹ್ವಾಸ್
aileen	ಐಲೀನ್
ainsley	ಐನ್‌ಸ್ಲಿ
ainslie	ಐನ್‌ಸ್ಲಿ
air france klm group	ಏರ್ ಫ್ರಾನ್ಸ್ ಕೆಎಲ್ಎಂ ಗ್ರೂಪ್
air mail	ಏರ್ ಮೇಲ್
airell	ಏರೆಲ್
aisin seiki	ಐಸಿನ್ ಸೈಕಿ
aislin	ಐಸ್ಲಿನ್
aithal	ಐತಲ್
ajaad	ಆಜಾದ್
ajaatashatru	ಅಜಾತಶತ್ರು
ajaatshatru	ಅಜಾತ್‌ಶತ್ರು
ajamil	ಅಜಮಿಳ್
ajanta ellora	ಅಜಂತಾ ಎಲ್ಲೋರಾ
ajaradaah	ಅಜರದಾ
ajatashatru	ಅಜಾತಶತ್ರು
ajatshatru	ಅಜಾತ್‌ಶತ್ರು
ajawaad	ಅಜವಾಡ್
ajay	ಅಜಯ್
ajay jadeja	ಅಜಯ್ ಜಡೇಜಾ
ajaya	ಅಜಯ
ajeeb ittefaq	ಅಜೀಬ್ ಇತ್ತೆಫಾಕ್
ajeeb ladki	ಅಜೀಬ್ ಲಡಕಿ
ajeebaah	ಅಜೀಬಾ
ajendra	ಅಜೇಂದ್ರ
ajgain	ಅಜ್‌ಗೈನ್
ajir asom	ಅಜಿರ್ ಅಸೋಮ್
ajish	ಅಜೀಶ್
ajitaabh	ಅಜಿತಾಭ್
ajitesh	ಅಜಿತೇಶ್
ajlah	ಅಜಿಲಾ
ajmal	ಅಜ್ಮಲ್
ajmani	ಅಜ್ಮಾನಿ
ajmer	ಅಜ್ಮೇರ್
ajmer junction	ಆಜ್ಮೆರ್ ಜಂಕ್ಷನ್
ajnabi saaya	ಅಜನಬಿ ಸಾಯಾ
ajradaah	ಅಜ್ರದಾ
ajradah	ಅಜ್ರದಾ
ajwaad	ಅಜ್ವಾಡ್
akaar	ಆಕಾರ್
akalgadiya	ಅಕಲ್‌ಗಡಿಯಾ
akalkot road	ಅಕಲ್ಕೋಟ್ ರೋಡ್
akalmand	ಅಕಲ್ಮಂದ್
akalmash	ಅಕಲ್ಮಶ್
akanapet	ಅಕನಾಪೇಟ್
akar	ಆಕರ್
akarshan	ಆಕರ್ಷಣ್
akash	ಆಕಾಶ್
akash pari	ಆಕಾಶ್ ಪರಿ
akasha	ಆಕಾಶ
akashi-kaikyo	ಅಕಾಶಿ-ಕೈಕ್ಯೊ
akbar	ಅಕ್ಬರ್
akbarpur	ಅಕಬರಪುರ್
akeef	ಅಕೀಫ್
akeel	ಅಕೀಲ್
akele hum akele tum	ಅಕೇಲೆ ಹಮ್ ಅಕೇಲೆ ತುಮ್
akhalaaq	ಅಖಲಾಕ್
akhand saubhagyawati	ಅಖಂಡ್ ಸೌಭಾಗ್ಯವತಿ
akhfash	ಅಖ್ಫಾಶ್
akhil	ಅಖಿಲ್
akhlaaq	ಅಖ್‌ಲಾಕ್
akhri muqabla	ಆಖರೀ ಮುಕಾಬಲಾ
akhtar	ಅಖ್ತರ್
akil	ಅಕಿಲ್
akila daily	ಅಕಿಲಾ ಡೈಲಿ
akira	ಅಕಿರಾ
akmaal	ಅಕ್ಮಾಲ್
akmal	ಅಕ್ಮಲ್
akola junction	ಅಕೋಲಾ ಜಂಕ್ಷನ್
akolner	ಅಕೋಲ್ನೇರ್
akosombo dam	ಅಕೋಸೋಂಬೋ ಡ್ಯಾಮ್
akram	ಅಕ್ರಮ್
akram khan	ಅಕ್ರಮ ಖಾನ್
akron	ಆಕ್ರನ್
aksh	ಅಕ್ಷ್
akshay	ಅಕ್ಷಯ್
akshit	ಅಕ್ಷಿತ್
akshitaa	ಅಕ್ಷಿತಾ
akul	ಅಕುಲ್
akzo nobel	ಏಕ್ಜೋ ನೊಬೆಲ್
ala	ಅಲಾ
alabama	ಅಲಾಬಾಮಾ
aladdin knowledge systems limited	ಅಲಾದೀನ್ ನಾಲೆಡ್ಜ್ ಸಿಸ್ಟಮ್ಸ್ ಲಿಮಿಟೆಡ್
alaina	ಅಲೈನಾ
alair	ಅಲೆರ್
alaka	ಅಲಕಾ
alakh niranjan	ಅಲಖ್ ನಿರಂಜನ್
alam ara ki beti	ಆಲಮ್ ಅರಾ ಕೀ ಬೇಟಿ
alamatti dam	ಆಲಮಟ್ಟಿ ಡ್ಯಾಮ್
alameda	ಅಲಮೇಡ
alamgir kabir	ಅಲ್ಮಗಿರ್ ಕಬಿರ್
alan	ಅಲನ್
alan igglesden	‌ಅಲನ್ ಇಗ್ಲೆಸ್‌ಡನ್
alan mullally	ಅಲನ್ ಮುಲ್ಲಾಲಿ
alan turner	ಅಲನ್ ಟರ್ನರ್
alana	ಅಲಾನಾ
alannis	ಅಲಾನಿಸ್
alap	ಆಲಾಪ್
alarice	ಅಲರಿಸ್
alastair cook	ಅಲಾಸ್ಟೇರ್ ಕುಕ್
alauddin ali ahmed sabir kalyari	ಅಲಾವುದ್ದೀನ್ ಅಲಿ ಅಹಮದ್ ಸಬೀರ್
alaura	ಅಲಾರಾ
alayna	ಅಲೇನಾ
albatross	ಅಲ್ಬಟ್ರಾಸ್
albela	ಅಲ್ಬೇಲಾ
albela mastana	ಅಲ್ಬೇಲಾ ಮಸ್ತಾನಾ
albeli	ಅಲ್ಬೇಲೀ
albert	ಅಲ್ಬರ್ಟ್
albert medal	ಅಲ್ಬರ್ಟ್ ಮೆಡಲ್
albert pinto ko gussa kyon ata hai	ಆಲ್ಬರ್ಟ್ ಪಿಂಟೊ ಕೊ ಗುಸ್ಸಾ ಕ್ಯು ಆತಾ ಹೈ
alcoa	ಅಲ್ಕೋವಾ
aldan	ಅಲ್ಡಾನ್
aldous	ಅಲ್ಡೌಸ್
aleemah	ಅಲೀಮಾ
alembic	ಅಲೆಂಬಿಕ್
alester maregwede	ಆಲಿಸ್ಟರ್ ಮಾರ್ಗ್ವೆಡೆ
aleutian	ಅಲ್ಯುಟಿಯನ್
alexander the great	ಅಲೆಕ್ಸಾಂಡರ್ ದಿ ಗ್ರೇಟ್
alexandre dumas	ಅಲೆಕ್ಸಾಂಡರ್ ಡ್ಯೂಮಾಸ್
alexavier	ಅಲೆಕ್ಸೇವಿಯರ್
alexia	ಅಲೆಕ್ಸಿಯಾ
alfonso	ಅಲ್ಫೋನ್ಸೋ
alfred	ಅಲ್ಫ್ರೆಡ್
alfred luseno	ಅಲ್ಫ್ರೆಡ್ ಲುಸೆನೊ
alfred tennison	ಆಲ್‌ಫ್ರೆಡ್ ಟೆನಿಸನ್
algiers	ಅಲ್ಜೀರ್ಸ್
ali	ಅಲಿ
ali shah	ಆಲಿ ಶಾ
alia bada	ಅಲಿಯಾ ಬಡಾ
alibagh	ಆಲಿಬಾಗ್
alibaug fort	ಅಲಿಬಾಗ್ ಫೋರ್ಟ್
alicia	ಅಲಿಷಿಯಾ
alima	ಅಲಿಮಾ
alimaa	ಅಲಿಮಾ
alipur duar	ಅಲಿಪುರ್ ದುವರ್
aliyah	ಅಲಿಯಾ
alkaa	ಅಲ್ಕಾ
all saints lutheran	ಆಲ್ ಸೈಂಟ್ಸ್ ಲುಥೆರಾನ್
all-america city award	ಆಲ್-ಅಮೆರಿಕಾ ಸಿಟಿ ಅವಾರ್ಡ್
allahabad	ಅಲಹಾಬಾದ್
allahabad bank	ಅಲ್ಲಾಹಾಬಾದ್ ಬ್ಯಾಂಕ್
allahabad junction	ಅಲಹಾಬಾದ್ ಜಂಕ್ಷನ್
allan	ಅಲ್ಲಾನ್
allan border medal	ಅಲನ್ ಬಾರ್ಡರ್ ಮೆಡಲ್
allan greenspan	ಅಲಾನ್ ಗ್ರೀನ್‌ಸ್ಪಾನ್
allaudin laila	ಅಲಾವುದ್ದೀನ್ ಲೈಲಾ
allayna	ಅಲ್ಲಾಯ್ನಾ
allemande	ಅಲಿಮಂಡೆ
allendale	ಅಲೆಂಡಾಲಿ
allene	ಅಲೀನ್
alleppey	ಅಲಪ್ಪೆ
allianz	ಅಲಯಂಜ್
alma	ಅಲ್ಮಾ
almanij	ಅಲ್ಮನಿಜ್
almirante latorre	ಅಲ್ಮಿರಾಂಟೆ ಲಟ್ಟೋರಿ
