aalto	אלטו
berlin	ברלין
berliner	ברלינר
berlioz	בירליוז
berlusconi	ברלסקוני
berman	ברמאן
bermuda	ברמודא
bernadette	ברנאדיט
bernadotte	ברנאדוט
bernal	ברנאל
bernanke	בירנאנקי
bernard	ברנאר
bernardino	ברנארדינו
bernardo	ברנארדו
bernays	ברנייז
berne	ברן
berner	בירנר
bernhard	ברנהארד
berni	בירני
bernie	ברני
berrer	בירר
berri	ברי
berry	בירי
bert	ברט
bertelsen	בירטילסן
berthod	בירתוד
berthold	בירתולד
berti	ברטי
bertie	בירטי
bertin	ברטין
bertine	ברטין
bertini	ברטיני
berto	בירטו
bertoli	בירטולי
bertolt	ברטולט
bertos	בירטוס
bertrand	ברטראנד
besant	ביזנט
beschastnykh	ביצ'אסטניך
besheer	בשיר
beslan	בסלאן
bessemer	בסימר
besson	בסון
best	בסט
betancourt	ביטאנקורט
beth	בת
bethesda	ביתיסדא
betta	ביטא
bette	ביט
bettega	ביטיגא
bettini	ביטיני
bettino	בטינו
bettiol	ביטיול
beynie	בייני
beyonce	ביונסי
bezalel	בזלאל
bezos	ביזוס
bg	בג
bhamdoun	בחמדון
bharrat	באראט
bhatia	באטיא
bhutto	בוטו
biaggio	ביאג'יו
bianca	ביאנקא
biber	ביבר
bibi	ביבי
bidatsu	בידאטסו
bidouane	בדואן
biella	ביילא
bielsa	בילסא
big	ביג
bigeard	ביגירד
bigogno	ביגוניו
bigon	ביגון
bihar	ביחאר
bijeljina	ביילינא
bijotat	ביג'וטאט
bikey	באיקי
bikila	ביקילא
bikin	ביקין
bila	בילא
bilady	בילאדי
bilal	בילאל
bilharz	בילהארץ
bilic	ביליטש
bilirubin	בילירובין
bill	ביל
billel	בילל
billie	בילי
billong	בילונג
billstrom	בילסטרום
billy	בילי
bimkom	במקום
bin	בין
binet	בינה
bingu	בינגו
binoche	בינוש
binyamin	בנימין
birak	ביראק
birgit	בירגיט
birnbaum	בירנבאום
biros	בירוש
birsk	בירסק
birtles	בירטלז
bisha	בישה
bismarck	ביסמארק
bismillah	ביסמילה
bissau	ביסאו
bisset	ביסה
bit	ביט
bitar	ביטאר
bitat	ביטאט
bixente	ביסינטי
bizimungu	ביזימונגו
bjarne	ביארן
bjarni	ביארני
bjorkman	ביורקמאן
bjorn	ביורן
bksy	בקסי
blaby	בלייבי
blackstone	בלאקסטון
blagoja	בלאגויה
blaine	בליין
blair	בלייר
blaise	בלייז
blake	בלייק
blanchett	בלאנצ'ט
blanco	בלאנקו
blanka	בלאנקא
blas	בלאס
blasi	בלאזי
blass	בלאס
blatter	בלאטר
blazej	בלאזיי
blazek	בלאזיק
bledel	בלדל
bliss	בליס
blitzer	בליצר
bloch	בלוך
blok	בלוק
blokhin	בלוכין
blondeau	בלונדו
bloom	בלום
bluetooth	בלוטות'
bluitgen	בלוטגן
blum	בלום
blumenthal	בלומנתאל
blunt	בלאנט
bnei	בני
bo	בו
boakye	בואקיה
boateng	בוטינג
boaz	בועז
bob	בוב
bobadilla	בובאדילא
boban	בובאן
bobby	בובי
bobo	בובו
bocelli	בוצ'לי
boco	בוקו
bodart	בודארט
bodo	בודו
bodom	בודום
bodrum	בודרום
boeing	בואינג
bogart	בוגארט
bogdan	בוגדאן
bogota	בוגוטא
bohdan	בודאן
bohlen	בולן
bohlin	בוהלין
bohm	בום
boiany	בויאני
bois	בווא
boissier	בויסייר
boka	בוקא
bola	בולא
boland	בולאנד
bolelli	בולילי
boleyn	בולין
bolkiah	בולקיה
boll	בול
bollettieri	בוליטיירי
boloni	בולוני
bolt	בולט
boltzmann	בולצמאן
bolzano	בולזאנו
bomis	בומיס
bommer	בומר
bonaire	בונייר
bonano	בונאנו
bondarenko	בונדארינקו
bonera	בונירא
bonetto	בוניטו
bongani	בונגאני
bongartz	בונגארץ
bongo	בונגו
boniek	בוניק
bonn	בון
bonnard	בונארד
bonner	בונר
bonnet	בוניט
bonnie	בוני
bonnissel	בוניסל
bono	בונו
bonsai	בונסאי
boole	בול
boonen	בונן
booy	בוי
bora	בורא
boral	בוראל
borana	בוראנא
borchardt	בורשארדט
borden	בורדן
bordet	בורדה
bordin	בורדין
bordon	בורדון
boreanaz	בורינאז
borel	בורל
borges	בורכיס
borgetti	בורגיטי
borgnine	בורגנין
borgo	בורגו
boris	בוריס
bork	בורק
borland	בורלאנד
borlaug	בורלוג
bormann	בורמאן
born	בורן
borneo	בורניו
bornstein	בורנסטאין
borobudur	בורובודור
borrelli	בורילי
borriello	בוריילו
boru	בורו
boruc	בורוטש
borussia	בורוסיא
bosacki	בוסאצקי
bosch	בוש
boselli	בוסיללי
bosko	בוסקו
bosman	בוסמאן
bosnich	בוסניטש
bossis	בוסיס
boston	בוסטן
botero	בוטירו
botta	בוטא
botton	בוטון
boubacar	בובקר
bouboulina	בובולינא
bouchaib	בושעיב
bouchardeau	בושארדיו
boudica	בודיקא
bouhired	בוחירד
boujelbene	בוג'לבאן
boulahrouz	בולאחרוז
boulares	בולעראס
boulle	בול
boulus	בולוס
bouma	בומא
boumediene	בומדין
boumnijel	בומניג'ל
bouna	בונא
bouraoui	בוראוי
bourbaki	בורבאקי
bourdieu	בורדיו
boutahar	בוטהאר
boutlilisse	בוטליליס
boutros	בוטרוס
bouzarah	בוזארה
boyd	בויד
boye	בוי
boyens	בוינס
boyle	בויל
bozanic	בוזאניטש
bozoljac	בוזולג'אק
bracci	בראקי
bracciali	בראשיאלי
brad	בראד
bradbury	בראדברי
bradesco	בראדיסקו
bradley	בראדלי
brady	בריידי
braga	בראגא
bragg	בראג
brahe	בראהי
brahem	בראהם
brahma	בראהמא
brahman	בראהמאן
braila	בראילא
braille	בריاל
braizat	בראיזאט
bram	בראם
bramante	בראמאנטי
brammertz	בראמירץ
brandenburg	בראנדנברג
brando	בראנדו
brandon	בראנדון
brandt	בראנט
brandts	בראנץ
branduardi	בראנדוארדי
branko	בראנקו
branson	בראנסון
brant	בראנט
braque	בראק
brasilia	בראזיליא
bratt	בראט
bratz	בראטז
braugher	ברויר
braun	בראון
braxton	בראקסטון
brazauskas	בראזאוסקאס
brechet	בריטשיט
brecht	ברישט
brede	ברידי
bree	ברי
breen	ברין
breeze	בריז
bregerie	בריגירי
brehme	ברימה
breitner	בראיטנר
bremner	ברימנר
brendan	ברנדאן
brendell	ברינדל
brennan	ברינאן
brenner	ברנר
breslin	ברסלין
bresse	בריס
breton	בריטון
brett	בריט
breuer	ברויר
brian	בריאן
bridge	ברידג'
bridges	ברידג'ז
bridget	בריג'ט
briggs	בריגז
brigham	בריגם
bright	בראיט
brigitte	בריגיט
brik	בריק
brin	ברין
bringas	ברינגאס
brisson	בריסון
bristol	בריסטול
britain	בריטאן
britney	בריטני
brittany	בריטאני
brixton	בריקסטון
brno	ברנו
broadbent	ברודבנט
brocchi	ברוקי
brocic	ברושיטש
brock	ברוק
brockie	ברוקי
brod	ברוד
broderick	ברודריק
brodie	ברודי
brodsky	ברודסקי
brody	ברודי
broissart	ברויסארט
bromley	ברומלי
bromothymol	ברומותימול
bronstein	ברונסטין
bronte	ברונטי
brook	ברוק
brooklyn	ברוקלין
brooks	ברוקס
brosnan	ברוסנאן
broz	ברוז
bru	ברו
bruce	ברוס
brukhin	ברוכין
brul	ברול
brundle	בראנדל
bruneau	ברוניאו
brunei	ברוניי
brunel	ברוניל
brunelleschi	ברונליסקי
bruner	ברונר
brunetti	ברוניטי
brunner	ברונר
bruno	ברונו
bryan	בראין
bryansk	בריאנסק
bryant	בראינט
bryden	בראידן
brynjar	בריניאר
brzic	ברזיטש
bseiso	בסייסו
bsharri	בשארי
bu	בו
buarque	בוארק
buber	בובר
bubernik	בוברניק
bubka	בובקא
buble	בובלה
bubnik	בובניק
bucaille	בוקאי
bucharest	בוכארסט
buchner	בוכנר
bucker	באקר
buckley	באקלי
buckmaster	באקמאסטר
budan	בודאן
buddha	בודהא
budyanskiy	בודיאניסקי
buell	ביואל
bueno	בוינו
buenos	בוינוס
bugalo	בוגאלו
buganda	בוגאנדא
bugatti	בוגאטי
bugnet	בוגניט
bugzilla	בגזילא
buhari	בוהארי
buhturi	בוחטורי
buigues	בויגיס
buinsk	בוינסק
buisson	בויסון
bukhara	בוכארא
bukharin	בוכארין
bulent	בולנט
buljan	בוליאן
bull	בול
bulleh	בולה
bultmann	בולטמאן
bulykin	בוליקן
bunche	באנש
buncol	בונקול
bundy	בנדי
bunin	בונין
bunraku	בונראקו
bunting	באנטינג
bunton	באנטון
burckhardt	בורקהארט
burd	בורד
burdenski	בורדינסקי
burdisso	בורדיסו
buretsu	בוריטסו
burgess	בורגיס
burgmeier	ברגמאיר
burgnich	בורגניטש
buriani	בוריאני
burke	בורק
burkert	בורקרט
burkina	בורקינא
burla	בורלא
burnley	בורנלי
burns	בירנז
burqa	בורקע
burrell	בוריל
bursac	בורסאטש
burt	בורט
burton	בורטן
buruk	בורוק
burundi	בורונדי
buryatia	בוריאטיא
busacca	בוסאקא
busby	באסבי
buscemi	בושימי
busch	בוש
bush	בוש
bushmen	בושמן
busk	באסק
buson	בוסון
buster	באסטר
buta	בוטא
butenandt	בוטינאנט
butler	באטלר
butor	בוטור
butrus	בוטרוס
butte	ביוט
buy	באי
buyten	בויטן
buzau	בוזאו
buzek	בוזק
byrd	בירד
byrne	בירן
c.	ק.
caan	קאן
cabanas	קאבאנאס
cabel	קאבל
cabrera	קאברירא
cabrillo	קאברילו
cabrini	קאבריני
cabrita	קאבריטא
caceres	קאסיריס
cadherin	קאדהירין
cadillac	קאדילאק
cafu	קאפו
cage	קייג'
cagliari	קאליארי
cahill	קאהיל
cahors	קאהור
caillebotte	קאייבוט
caine	קיין
cake	קייק
cal	קאל
calabria	קאלאבריא
calais	קאלה
calatrava	קאלאטראבא
calcutta	קאלקוטא
calder	קאלדר
calexico	קאליקסיקו
calgary	קאלגארי
califf	קאליף
calimero	קאלימירו
callaghan	קאלאגאן
callas	קאלאס
calleja	קאליכא
calouste	קאלוסט
calum	קאלום
calvin	קאלוין
calzada	קאלזאדא
camaro	קאמארו
camataru	קאמאטארו
cambiasso	קאמביאסו
cambodia	קמבודיא
camby	קאמבי
camden	קאמדן
camel	קאמל
camelot	קאמלוט
cameron	קאמירון
cameroon	קאמירון
camilla	קאמילא
camille	קאמיל
camillo	קאמילו
camilo	קאמילו
campania	קאמפאניא
campo	קאמפו
campos	קאמפוס
camps	קאמפס
camus	קאמו
canada	קנדא
canberra	קאנבירא
candide	קאנדיד
caneira	קאנירא
canetti	קאניטי
caniggia	קאניגיא
canio	קאניו
canizares	קאניזאריס
cannavaro	קאנאבארו
cannes	קאן
canning	קאנינג
cannon	קאנון
canova	קאנובא
cantabria	קאנטאבריא
canterbury	קאנטרברי
cantona	קאנטונא
cantor	קאנטור
cao	קאו
capa	קאפא
capcom	קאפקום
capecchi	קאפיקי
capek	קאפק
capello	קאפילו
capet	קאפה
capone	קאפונ
cappadocia	קאפאדוקיא
capparoni	קאפארוני
capri	קאפרי
caracalla	קאראקלא
caracas	קאראקאס
caravaggio	קאראבאג'יו
carbajal	קארבאכאל
carbonic	קרבוניק
