abduh	עבדוה
chtaura	שטורה
ciesla	סיסלא
cipolla	צ'יפולא
ciro	צ'ירו
citigroup	סיטיגרופ
clarke	קלארק
claudius	קלאודיוס
cleber	קליבר
clifford	קליפורד
clinton	קלינטון
coase	קוס
coeck	קואק
cohen	כהן
cole	קול
colfax	קולפאקס
colleter	קולטר
collette	קוליט
colmar	קולמאר
colt	קולט
compton	קומפטון
connery	קונרי
constantius	קונסטאנטיוס
coolidge	קולידג'
coras	קוראס
corfu	קורפו
corneliu	קורניליו
cornwell	קורנויל
corver	קורבר
cossery	קוסרי
costacurta	קוסטאקורטא
couto	קוטו
cravero	קראבירו
craxi	קראקסי
cristoforo	קריסטופורו
croatia	קרויישה
croci	קרוקי
cronenberg	קרוננברג
crouch	קראוטש
cuba	קיובא
cubillas	קובילאס
curtiss	קורטיס
custers	קוסטרס
cynthia	סינתיא
cyrillic	סיריליק
d	די
dae	דיי
daewoo	דאיוו
dagon	דאגון
dahan	דהאן
dahlman	דאלמאן
dainelli	דאינילי
daisuke	דאיסוק
dalli	דאלי
dan	דן
dana	דאנא
daneshvar	דאנשוור
danner	דאנר
danube	דאנוב
darfur	דארפור
dave	ייב
day	דיי
debbagh	דבאג
debbie	דבי
deflandre	דיפלאנדר
degauque	דיגוק
dehn	דהן
deir	דיר
deleuze	דלוז
delfino	דלפינו
delimkhanov	דלימכאנוב
delson	דילסון
demirel	דימיריל
demme	דים
demyanenko	דימיאנינקו
denisov	דיניסוב
devon	דיבון
diakite	דיאקיטי
diao	דיאו
dickens	דיקנז
diderot	דידרו
diesel	דיזל
dima	דימא
djibril	ג'יבריל
dogg	דוג
domenghini	דומנגיני
domingo	דומינגו
donald	דונאלד
donato	דונאטו
doug	דוג
doxa	דוקסא
dragila	דראגילא
dunai	דונאי
durant	דוראנט
durs	דורס
dusseldorf	דוסלדורף
dwomoh	דוומוה
eagleton	איגלטון
eastcote	איסטקוט
ebadi	עבאדי
efraim	אפרים
eichmann	איקמאן
elisha	אלישע
elm	אילם
elmore	אלמור
elsamni	אלסמני
elshafei	אלשאפעי
emek	עמק
endless	אנדליס
enron	אנרון
erato	אראטו
eretria	אריטריא
ernest	ארנסט
esna	אסנא
estili	אסטילי
etna	אטנא
evrytania	אבריטאניא
facchetti	פאקיטי
faltermeyer	פאלטרמאיר
faraday	פאראדאי
farhi	פרחי
faten	פאטן
fechner	פכנר
fehn	פיהן
feldman	פלדמאן
feyenoord	פיינורד
fico	פיקו
figaro	פיגארו
fillion	פיליון
film	פילם
finkelstein	פינקלסטאין
fiona	פיונא
fletcher	פליטשיר
fojut	פוג'וט
foreman	פורמאן
fortuno	פורטונו
franco	פראנקו
franky	פראנקי
fraser	פרייזר
fredrik	פרידריק
friedman	פרידמאן
frings	פרינגז
frost	פרוסט
ful	פול
fuller	פולר
gabriele	גאבריאל
gallardo	גאלארדו
gallas	גאלאס
ganea	גאניא
ganzouri	גנזורי
garang	גאראנג
garbo	גארבו
gariseb	גאריסב
garzon	גארזון
gaskell	גאסקל
gebrselassie	גבריסילאסי
gekas	גיקאס
gelsenkirchen	גילסנקירשן
genrikh	גינריך
geoff	ג'ף
geoffrey	ג'פרי
georgy	ג'ורג'י
ghayeghran	גאיגראן
giacinto	ג'אסינטו
giacomo	ג'אקומו
gibb	גיב
gibbs	גיבז
gil	גיל
gildas	גילדאס
ginaton	גינתון
giuliani	ג'וליאני
giza	גיזה
gladstone	גלאדסטון
glen	גלן
glotov	גלוטוב
glutamine	גלוטאמין
goian	גויאן
golanski	גולאנסקי
golmohammadi	גולמוחמדי
gomis	גומיס
goodman	גודמאן
gorlitz	גורליץ
gottlieb	גוטליב
grazia	גראזיא
grey	גריי
grint	גרינט
gronkjar	גרונקיאר
grosjean	גרוסג'ין
grundig	גרונדיג
grybauskaite	גריבאוסקאיטי
gyula	גיולא
hachilensa	האצ'ילינסא
hadji	חאג'י
haggai	חגי
hagi	האגי
haiti	האיטי
hajduk	האידוק
hakim	חאקים
hakovesh	הכובש
halford	האלפורד
halimi	חלימי
halle	הל
ham	חאם
hamann	האמאן
hamer	האמר
hamm	האם
hampden	האמפדן
hanescu	האניסקו
hanns	האנס
hany	האני
harare	הרארי
hariri	חרירי
harper	הארפר
hartmut	הארטמוט
hartnett	הארטניט
hashemian	האשמיאן
hashomron	השומרון
hassan	חסן
hasse	האס
heche	הש
heenan	הינאן
heichel	האישל
heike	היק
held	הילד
helena	הלנא
hemdan	חמדאן
henry	הנרי
henryk	הנריק
heraclitus	היראקליטס
herget	הרגט
hermesh	חרמיש
herzberg	הירצבירג
hesselink	היסילינק
hetfield	היטפילד
hicham	הישאם
hijazi	חיג'אזי
hirschfeld	הירשפילד
hofi	חופי
hogan	הוגאן
hollein	הוליין
holodomor	הולודומור
honshu	הונשו
hooke	הוק
hope	הופ
horizonte	הוריזונטי
hoshyar	הושיאר
hosny	חוסני
hostilius	הוסטיליוס
hrant	הראנט
hsien	חסין
hudhayfah	חודייפה
hugues	הוגיז
hui	הוי
humssi	חומסי
hunt	האנט
hydrography	האיג'רוגראפי
hyundai	היונדאי
iberia	איביריא
idi	עידי
ifil	איפיל
igor	איגור
indurain	אינדוריין
innsbruck	אינסברוק
ioannis	יואניס
ion	איון
islam	איסלאם
itamar	איתמר
jaaskelainen	יאסקילאינן
jabi	ג'אבי
jackman	ג'אקמאן
jacobson	ג'אקובסון
jacopo	יאקופו
jagdeo	ג'אגדיו
janovic	יאנוביטש
jarrod	ג'ארוד
jasem	ג'אסם
jesper	יספר
jettou	ג'טו
johann	יוהאן
jonbent	ג'ונבינט
jones	ג'ונז
jorge	ג'ורג'
josep	ג'וסיפ
jostein	ג'וסטאין
jozef	ג'וזף
jrme	ג'רם
juana	חואנא
jurota	ג'ורוטא
just	ג'אסט
kadeer	קדיר
kafi	קאפי
kahana	כהנא
kaifeng	קאיפנג
kaimbi	קאימבי
kaladze	קאלאדזה
kalashnikov	קלאשניקוב
kaliningrad	קאלינינגראד
kallstrom	קאלסטרום
kantaro	קאנטארו
kanu	קאנו
kapitsa	קאפיטסא
kargus	קארגוס
karim	קרים
karnei	קארניי
karo	קארו
karoly	קארולי
kathleen	קאתלין
katlego	קאטליגו
katsouranis	קאטסוראניס
katzer	קאטזר
katzrin	קצרין
kav	קאב
kawai	קאואי
kay	קיי
kaye	קיי
kazuyoshi	קאזויושי
keane	קין
kela	קילה
keller	קלר
kenan	קינאן
kendo	קנדו
kenneth	קינית
kensington	קנסינגטון
kerkouane	קרקואן
ketone	קיטון
khamis	חמיס
khouloud	חולוד
kido	קידו
kieran	קיראן
kieron	קירון
kikuchi	קיקוצ'י
killen	קילן
kiran	קיראן
kirk	קירק
kiyotaka	קיוטאקא
kjar	קיאר
klinsmann	קלינסמאן
knowles	נוולז
knox	נוקס
kobayashi	קובאיאשי
koblenz	קובלנז
koga	קוגא
kogyoku	קוגיוקו
kol	קל
konosuke	קונוסוקה
koolhaas	קולהאס
kopke	קופקה
korbut	קורבט
korean	קוריאן
korneyev	קורנייב
kranjcar	קראניקאר
kremer	קרימר
kristanna	קריסטאנא
kristian	קריסטיאן
kufuor	קופור
kumai	קומאי
kvasnak	קבאסנאק
kwanzaa	קואנזא
kyrenia	קיריניא
laban	לבן
lahore	לאהור
lama	לאמא
lanark	לאנאנרק
lancashire	לאנקשיר
lange	לאנג
lansbury	לאנסבורי
lars	לארס
latimer	לאטימר
laughter	לאפטר
lauren	לורן
lauridsen	לאורידסן
lavra	לאברא
lavronenko	לאברונינקו
lawton	לוטון
lazarev	לאזאריב
lazaros	לאזארוס
ledesma	לידיסמא
leigh	לי
lemerre	לומיר
lenstra	לינסטרא
lessing	ליסינג
levinson	לווינסון
levy	לוי
liakhov	ליאקוב
liane	ליאן
lidice	לידיס
lindsay	לינדסיי
liston	ליסטון
little	ליטל
liu	לו
liviu	ליביו
liza	ליזא
loetscher	לוטשר
loko	לוקו
london	לונדן
lota	לוטא
love	לוב
lovric	לובריטש
lowenthal	לוינתאל
luanda	לואנדא
lucien	לוסיאן
lundin	לונדין
lydia	לידיא
macho	מאצ'ו
macias	מאסיאס
madison	מאדיסן
madonna	מאדונא
madrasah	מדרסה
makinwa	מאקינוא
maldonado	מאלדונאדו
malick	מאליק
malta	מאלטא
maltese	מאלטיז
mamet	מאמט
mami	מאמי
mamiko	מאמיקו
mamo	מאמו
managua	מאנאגוא
manda	מאנדא
mandriva	מאנדריבא
mann	מן
manouchehr	מנוצ'הר
mansfield	מאנספילד
mansouri	מנסורי
marcia	מארסיא
marino	מארינו
marion	מאריון
mariot	מאריוט
marius	מאריוס
marks	מארקס
marois	מארוא
mart	מארט
marzel	מארזל
marzouq	מרזוק
masaccio	מאסאצ'ו
masai	מאסאי
mashrabiya	משרביה
masilela	מאסילילא
masny	מאסני
matovinovic	מאטובינוביטש
matty	מאטי
mazloum	מזלום
mccann	מקאן
mccarthy	מקארתי
mehlis	מיליס
melchior	מלקיור
melho	מלחו
melissa	מליסיא
menezes	מיניזיס
menichelli	מניקילי
mensah	מינסאה
mental	מינטאל
meriah	מריאח
messier	מסייה
meyrieu	מיריו
mia	מיא
mikati	מיקאטי
mikkel	מיקל
mikoyan	מיקויאן
miladinovic	מילאדינוביטש
mill	מיל
millard	מילארד
milosz	מילוש
minami	מינאמי
ming	מינג
minot	מינוט
mira	מירא
mircea	מירסיא
mirel	מירל
mirjalol	מירג'לול
miron	מירון
mischa	מישא
mishima	מישימא
mit	מיט
mitanni	מיטאני
mndez	מנדיז
modiri	מודירי
mohaisen	מוחייסן
mohs	מוס
moizan	מויזאן
moldova	מולדובא
mollemann	מולימאן
moller	מולר
montale	מונטאלי
montenegro	מונטיניגרו
montevideo	מונטיבידיו
monty	מונטי
morrow	מורו
morse	מורס
morten	מורטן
mosul	מוסול
moumouni	מומוני
mourad	מוראד
muharram	מוחארם
mulilo	מולילו
munteanu	מונטינו
murray	מרי
mwaruwari	מוארווארי
myskina	מיסקינא
mzali	מזאלי
nabeel	נביל
nabih	נאבי
nacer	נאסר
nader	ניידר
nafi	נאפי
nani	נאני
nasdaq	נאסדאק
nasib	נסיב
nat	נאט
neaman	ניעמאן
neot	ניות
nepal	נפאל
neves	ניביס
nicklas	ניקלאס
nicolo	ניקולו
nigeria	נאיג'יריא
nikola	ניקולא
nikolaos	ניקולאוס
nino	נינו
nisanit	ניסנית
nitra	ניטרא
nixon	ניקסון
noboru	נובורו
nohair	נוהייר
nonie	נוני
nordin	נורדין
nori	נורי
norio	נוריו
norman	נורמאן
norodom	נורודום
northam	נורתאם
nosrati	נוסרטי
nottingham	נוטינגהאם
nour	נור
nouvel	נובל
novotel	נובוטל
nuri	נורי
obsidian	אובסידיאן
olarra	אולארא
old	אולד
olsson	אולסן
oranim	אורנים
paasilinna	פאסילינא
paillot	פאילוט
paisley	פייזלי
papin	פאפין
papua	פאפוא
parana	פאראנא
pareto	פאריטו
parmenides	פארמנידס
pasteur	פאסטור
pastrana	פאסטראנא
pau	פאו
paulus	פאולוס
peguy	פיגוי
peltola	פלטולא
pena	פינא
penn	פן
pennant	פינאנט
pepe	פפה
perkins	פירקינז
perutz	פירוץ
petrosian	פיטרוסיאן
phanrit	פאנריט
phau	פאו
piano	פיאנו
pierino	פיירינו
pinel	פיניל
plessers	פליסירז
plessis	פליסיס
podesta	פודיסטא
poe	פו
poirot	פוירוט
polleunis	פולינס
portas	פורטאס
porterfield	פורטרפילד
prieto	פרייטו
prost	פרוסט
protocol	פרוטוקול
pteranodon	פטיראנודון
puglisi	פוליזי
pulcheria	פולכריא
puskas	פוסקאס
qosimov	קוסימוב
radoi	ראדוי
radomir	ראדומיר
rafa	רפא
rafik	רפיק
rainer	ראינר
ralph	ראלף
rambutan	ראמבוטאן
ramsey	ראמסיי
ramzi	רמזי
rashid	רשיד
rat	ראט
rats	ראטס
redondo	רידונדו
reinhold	ראינהולד
rembrandt	רמבראנט
renate	רינאט
rep	רפ
repetto	ריפיטו
revelle	רבל
rhee	רי
ribot	ריבו
ricci	ריצ'י
richert	ריצ'רט
rico	ריקו
riedle	רידל
riemann	רימאן
rinko	רינקו
riou	ריו
robeson	רובסון
roeder	רודר
roentgenium	רונטגניום
romanos	רומאנוס
romeo	רומיו
romi	רומי
roudbarian	רודבאריאן
rovaniemi	רובאניאמי
rozehnal	רוזיהנאל
rudyard	רדיארד
sabbatai	שבתאי
sadegh	סאדק
safina	סאפינה
safran	ספרן
saif	סאיף
salbutamol	סאלבוטאמול
saleh	סאלח
salekhard	סאלכארד
salenko	סאלינקו
sales	סיילז
salfit	סלפיט
salford	סאלפורד
salk	סולק
samer	סאמר
samir	סמיר
samitier	סאמיטייר
sanbar	סנבר
sandrelli	סאנדרילי
sanguinetti	סאנגויניטי
sanli	סאנלי
santamaria	סאנטאמאריא
santana	סאנטאנא
santo	סאנטו
sarayoot	סאראיוט
sarin	סארין
sarkozy	סארקוזי
sarsur	סרסור
sayako	סאיאקו
sberbank	סבירבנק
schiffer	שיפר
schneider	שנאידר
schulze	שולצה
scott	סקוט
sderot	שדרות
sebastian	סיבאסטיאן
seidath	סיידאת
sejdiu	סידיו
seksan	סאקסאן
selassie	סילאסי
sen	סן
sesto	ססטו
severus	סיבירוס
seville	סיביל
shady	שאדי
shamekh	שאמך
shamlou	שאמלו
shariati	שריעטי
shaukat	שאוקאט
shaul	שאול
shawki	שאוקי
sheraton	שראטון
shield	שילד
shigeru	שיגירו
shih	שיה
shimla	שימלא
shiri	שירי
shkoder	שקודר
shomu	שומו
shraga	שרגא
shumei	שומיי
shustikov	שוסטיקוב
siegfried	סיגפריד
siguroardottir	סיגורורדוטיר
silviu	סילביו
simferopol	סימפירופול
simukonda	סימוקונדא
sloan	סלון
slovenia	סלוביניא
smashnova	סמאשנובא
smetana	סמיטנא
smithies	סמיתיז
smolnikov	סמולניקוב
sommeil	סומיל
songul	סונגול
sonu	סונו
sophus	סופוס
souza	סוזא
sox	סוקס
soyinka	סוינקא
springer	ספרינגר
spyridon	ספירידון
stanton	סטאנטון
stasi	סטאזי
staudinger	שטאודינגר
steinitz	סטייניץ
stoichita	סטויקיטא
strait	סטרייט
streisand	סטראיסאנד
stuart	סטיוארט
subaru	סובארו
suksomkit	סוקסומקיט
sukur	סוקור
sultan	סולטאן
summers	סאמרז
surgut	סורגוט
sushi	סושי
suurbier	סורבייר
swindin	סוינדן
sylvia	סילביא
szentmihalyi	סזינטמיהאלי
taarabt	טאראבט
tabucchi	טאבוקי
tafer	טאפר
taher	טאהר
taheyya	טחיה
tajalli	טג'לי
takatoki	טאקאטוקי
takeuchi	טאקיוצ'י
taliban	טאליבאן
tanganyika	טנגאניקא
tanzan	טאנזאן
tatarstan	טאטארסטאן
tavares	טאבאריס
ted	טד
teerathep	טיראתפ
temime	טמים
teng	טנג
tertullian	טרטליאן
thabit	תאבט
theodosius	תיודוסיוס
theropoda	תירופודא
thessaloniki	תיסאלוניקי
theuriau	טוריו
tico	טיקו
tilman	טילמאן
tokio	טוקיו
toshihiko	טושיהיקו
toshio	טושיו
totma	טוטמא
toulalan	טולאלאן
transylvania	טראנסילוואניא
triple	טריפל
trondheim	טרונדהאים
tucci	טוצ'י
tufts	טאפטס
tukar	טוקאר
tunis	טוניס
turan	טוראן
tycho	טיכו
uganda	אוגאנדא
upchurch	אפצ'ירצ'
valdis	ואלדיס
valencia	ואלנסיא
valentia	ואלינטיא
valeriy	ואלירי
valery	וואלרי
valkyrie	ואלקירי
valletta	ואליטא
vasco	ואסקו
vasilis	ואסיליס
venezuela	ונזוילא
viale	ויאלי
vicente	ויסנטה
vijay	ויג'יי
virginia	וירג'יניא
vladikavkaz	ולאדיקאבקאז
voronin	בורונין
walaza	ואלאזא
walker	ואלקר
walzer	ואלצר
waseige	ואסיג'
wat	ואט
watt	ואט
weddell	ודל
wegener	ווגנר
wheater	ויטיר
wilder	ואילדר
willis	ויליס
wilmer	וילמר
winograd	וינוגראד
witschge	ויטסטשג
wittgenstein	ויטגינשטאין
woodley	וודלי
woodville	וודביל
wynalda	וינאלדא
yacine	יאסין
yang	יאנג
yard	יארד
yemin	ימין
yoichiro	יויצ'ירו
yoritomo	יוריטומו
yoshimoto	יושימוטו
yo‘ldosh	יולדוש
yuba	יובא
yukiko	יוקיקו
yukino	יוקינו
yvon	יבון
zack	זאק
zakariyya	זקריא
zakopane	זאקופאנא
zennstrom	זינסטרום
ziegler	זיגלר
zoe	זואי
zoltan	זולטאן
zozimo	זוזימו
zubin	זובין
zucchero	זוקירו
zuhr	זוהר
