กรันเบิร์ก	grunberg
ซาโรยัน, วิลเลียม	saroyan, william
ซิกแนล	signal
ซิปโคด	zip code
ซิมเมอร์แมน	zimmerman
ซิมโค	simco
ซีกินเทอเลอร์	siegenthaler
ซีจีไอ	cgi
ซีซี	cc
ซีลิก	seelig
ซีเครต	secret
ซีเมียน	simeon
ซีแฟคเตอร์	c factor
ซีโก	seago
ซีโนไบโอตา	xenobiota
ซึนามิ	tsunami
ซุส	zeus
ซูเปอร์ชาร์จ	supercharge
ซูเปอร์สตรักเชอร์	superstructure
ดริงกิงวอเตอร์	drinking water
ดรูรี่	drury
ดอนน์	donne
ดอมปิแอร์	dompierre
ดอมินิเกิส	dominicus
ดอร์เนีย	dornier
ดอร์เริ่นต์	durrant
ดอลเลิร์ด	dollard
ดักควินโน	daquino
ดัจเจิ้น	dudgeon
ดัตช์	dutch
ดันตัน	dunton
ดันนิเงอร์	dunninger
ดันส์	dones
ดันส์ต	dunst
ดันเคิร์ก	dunkirk
ดัลวิช	dulwich
ดายน์	dyne
ดาร์ก	dark
ดาเนอโฮ	donohoe
ดิตเมิ่น	dittman
ดินส์มอร์	densmore
ดิฟเฟอเรนเชียล	differential
ดิล	deale
ดิวเลอนีย์	dulaney
ดิสพรอพอร์ชันเนชัน	disproportionation
ดิ๊กเมิน	dieckmann
ดีพาร์ตเมนต์สโตร์	department store
ดีริเวติฟว์	derivative
ดีอัส	dias
ดีเดย์	d-day
ดีเบส	d-base
ดีโคสต้า	decosta
ดีไวน์	divine
ดูวอล	duvall
ดูเลอร์แซล	dolezal
ดูเออแร็ก	durack
ตอลสตอย, เลโอ	tolstoy, leo
ตาชิสม์	tachisme
ตินอส	tinos
ทรอปิกออฟแคนเซอร์	tropic of cancer
ทริก	trick
ทอยน์บีม, อาร์โนลด์	toynbee, arnold
ทอลคีน	tolkien
ทัน	thun
ทันเดอร์	thunder
ทัฟฟ์	tuff
ทัสค่า	tasca
ทาร์คิงตัน, บูท	tarkington, booth
ทิม	tim
ทีปี	tipi
ทีวีพูล	tv pool
ทีสเดล	teasdale
นอยมันน์	neumann
นาร์วีสัน	narveson
นิกรอยด์	negroid
นิกสัน	nixon
นิตเทิล	knittel
นิวคาลิโดเนีย	new caledonia
นิเรนเบิร์ก	nirenberg
นีโฮล์ม	nyholm
นูคอมเมอร์	newcomer
นูลลาห์	nullah
นูเลิ่นด์	newland
นูเออร์	newer
บรอกโคลี	broccoli
บรักกิ่งก์	bruggink
บรัม	brahm
บรัสโค่	brasco
บราซซาวิล	brazzaville
บราซิลวูด	brazilwood
บริกเนอร์	brickner
บริงก์เมิ่น	brinkman
บริดี้	bridie
บริดเจอร์	bridger
บริสบิ้น	brisbin
บริสเซิน	brisson
บริสโก	briscoe
บริสโค	brisco
บรีเมอโล่	brimelow
บรูอิส	brewis
บลัดกู๊ด	bloodgood
บลีตส์	blitz
บอตตีเชลลี, ซันโดร	botticelli, sandro
บอยแวน	boivin
บอร์นส	bournes
บอร์เนียว	borneo
บอร์เฮิม	boreham
บอลด์วิน	baldwin
บอลลิงเงอร์	bollinger
บอส	boss
บักกิง	bucking
บักลิน	bucklin
บัตเตอร์เวิร์ท	butterworth
บันดาร์เสรีเบกาวัน	bandar seri begawan
บันโซ	bonzo
บัลดิส	baldus
บัลเมน	balmain
บัสบี่	busby
บาซู	basu
บานส์	barnes
บาร์นสลีย์	barnsley
บาร์เนตต์	barnett
บาร์แทรม	bartram
บินนิ่ง	binning
บิลก์	bilk
บิวซี่	busey
บิวตี	beauty
บิวเลิ่นด์	buland
บี	bee
บีพีอาร์	bpr
บีมิช	beamish
บีเกอร์เติ้น	bickerton
บีเวอร์ส	beavers
บุชเนิลล์	bushnell
บุร์เริส	burrus
บุร์โด	bourdeaux
บุเลิร์ด	bullard
บุโล	bullough
บุ๊กสแปน	bookspan
บูร์กา	burga
บู๊ท	boot
ปาสกาล, แบลส์	pascal, blaise
ป่ามีร์	parmirs
ป๊อปปี้	poppy
พรอส	pross
พลาซา	plaza
พลาสมา	plasma
พลาสโมเดสมา	plasmodesma
พอร์เซลลาไนต์	porcellanite
พอลสัน	paulson
พอลิไวนิลคลอไรด์	poly vinyl chloride
พอลเลอร์	poller
พัตเตอร์	putter
พัตเมิน	putman
พัปปี	puppy
พัลมอลิฟ	palmolive
พัลลาดิโน่	palladino
พัลลิต	pollitt
พาร์เชิล	parshall
พาร์เทริจ	partridge
พิงก์นี่	pinkney
พิงก์เลดี	pink lady
พิงเคิร์ด	pinkard
พิดจิน	pidgin
พิตแมน	pitman
พิลอ	pilau
พิโน	pineau
พีตเซอร์	pitzer
พีเอสเอ็น	psn
พีโอเอส	pos
พูชเมิ่น	pushman
พ็อปคิ้น	popkin
ฟรอยด์, ซิกมุนด์	freud, sigmund
ฟรังโก, ฟรันซิสโก	franco, francisco
ฟรีดา	freda
ฟลอตต์	flott
ฟลอปปีดิสก์	floppy disc
ฟลอเรนซ์	florence
ฟลักซ์	flux
ฟลูต	flute
ฟอร์ตนีย์	fortney
ฟอร์มบี้	formby
ฟอร์แลนด์	foreland
ฟอลโลส์	follows
ฟอสเฟต	phosphate
ฟอเรสต์	forest
ฟักเกลอร์	fugler
ฟัลโกนี่	falcone
ฟาบูลา	fabula
ฟาริงเดิ่น	faringdon
ฟาร์ม	farm
ฟาร์โก	fargo
ฟิตเนส	fitness
ฟินนีเกิ้น	finnigan
ฟิฟิลด์	fifield
ฟิลเดิ้น	fielden
ฟิเคิ้น	ficken
ฟิเนิน	finan
ฟีลส์	fields
ฟีอาร์ด	fiard
ฟีเวอร์	fever
ฟุลก์	fulke
ฟุลไบรต์	fulbright
ฟูมิเกชันพลูม	fumigation plume
ฟูลลิลลัฟ	fullilove
ฟ็อก	focke
ฟ็อกสลีย์	foxley
มอนเต	monte
มอรอนซี่	morency
มอรีอาร์ตี้	moriarty
มอร์ฟิต	morphett
มอร์โรว์	morrow
มอว์	maw
มอสเลอร์	mosler
มันเซลล์, อัลเบิร์ต เฮนรี	munsell, albert henry
มันเดิ่น	munden
มัลกา	mulga
มัสกี้	muskie
มาพูโต	maputo
มาริเตเนีย	mauritania
มาร์การิตา	margarita
มาร์กเกอร์	marker
มาร์จี	margie
มาร์สเตอร์ส	marsters
มาร์เคิน	markon
มาร์เลอร์	marler
มาล์มเบิร์ก	malmberg
มาเรสค่า	maresca
มาเรียน	marian
มิกกี	micky
มิงกัส, ชาลส์	mingus, charles
มิดิ	midi
มิดเดิลตัน	middleton
มิดเดิลสโบร	middlesbrough
มิลีอิส	melius
มิลเลต	millette
มิสซูรี	missouri
มิสเซินเดิ้น	missenden
มิเลี่ยน	milian
มีชิม	mitchem
มีวิล	mieville
มีเชอร์	miescher
มีเดียม	medium
มีเทน	methane
มุดา	muda
มูเลินเบิร์ก	muhlenberg
ยอร์ก	jork
ยีนส์	jeans
ยีริก	yearick
ยุคคา	yucca
ยูค้อน	yukon
ยูนิเซฟ	unicef
ยูพีเอส	ups
ยูเอิร์ต	ewert
ยูไนเตด	united
รวันดา	rwanda
รอท	roth
รอทเบลิม	rothblum
รอลเลิน	rolland
รอเกิ่น	rugen
รักคิม	rakim
รักบี้	rugby
รัชมานีนอฟฟ์, เซียร์เกย์	rachmaninoff, sergei
รัทเทอร์ฟอร์ด	rutherford
ราส์ช	raasch
ราอุม	raum
ริกส์	ricks
ริคาร์ด	ricard
รินจ์	rindge
ริมส์	reams
ริยัล	riyal
ริสเตอร์	rister
ริสโก	riesgo
ริโด้	rideau
รีคาร์โด้	ricardo
รีฟลิน	rivlin
รีฟส์, จิม	reeves, jim
รีมันน์อินทิกรัล	riemann integral
รีวิต	rivett
รูกส์	rooks
รูบิ้น	rubin
รูว	ruwe
รูสเวลต์	roosevelt
ร็อบสัน	robson
ร็อสเมิน	rozman
ลองด์	landes
ลองเวล	longwell
ลอทีย์	luthy
ลอรีเออร์	laurier
ลอเฟิร์ด	lawford
ลันเดิล	lundell
ลัฟเวอร์	lover
ลามอนต์	lamonte
ลามูร์, หลุยส์	l’amour, louis
ลาวีนี่	lavine
ลาเริ่ม	larom
ลิงกา	lingga
ลิซิปปัส	lysippos
ลิตเทิลจอห์น	littlejohn
ลินด์ซีย์	lindsey
ลินด์เฮิร์สต์	lyndhurst
ลินเนียส	linnaeus
ลิปตัน, ทอมัส	lipton, thomas
ลิมิต	limit
ลิสบอน	lisbon
ลิเบรอะวิล	libreville
ลิเลียน	lilian
ลิโทซอล	lithosol
ลิ๊บ	lieb
ลีท	leath
ลีลิส	lillis
ลีเบิส	lebus
ลีโอตาร์, ชอง-ฟรองซัว	lyotard, jean-francois
ลูกัน	lucan
ลูซิล	lucile
ลูบส์ดอร์ฟ	leubsdorf
ลูป	loop
ลูเชิน	lucian
วอร์มซี	vormsi
วอร์เทิ่น	warthen
วอร์โฮล, แอนดี	warhol, andy
วอลต์	walt
วอลต์เมิ่น	waltman
วอลม์สลีย์	walmsley
วอลลั้นสไตน์	wallenstein
วอเตอร์เฮาส์	waterhouse
วอเตอเรอร์	waterer
วัตต์, เจมส์ อี.	watt, james e.
วันด์ส	wands
วานิลลา	vanilla
วาร์เทเนี่ยน	vartanian
วาส	vas
วาเวอเซอร์	vavasour
วาไรตี	variety
วิกิน	wiggin
วิกเกอร์ส	vickers
วิกเซิ่น	wixon
วิกเนอร์	wigner
วิตต์	witt
วิตโล	whitlow
วิลลี-วิลลี	willy-willy
วิลล์	wille
วิลส์	wills
วิลเยิมเซิน	williamson
วิลเลียมส์, รอบิน	williams, robin
วิลเลียมส์, เทนเนสซี	williams, tennessee
วิสเดิ้ม	wisdom
วิเทิร์ส	withers
วิเลิ่มส์	willems
วิไทรต์	vitrite
วีกลี่	weakly
วีเทิล	withall
วีเปิ้ล	whipple
วีเอชเอฟ	vhf
วีเอฟเอ	vfa
วุ๊ล์ฟ	wulf
วูดอล	woodall
วูลีเมิ่น	suliman
วูลเฟอวิตส์	wolfowitz
สกอตัส	scotus
สกอลด์	scald
สกิปแจ็ก	skipjack
สกิว	skew
สตรอนจ์	stronge
สตราม	strahm
สตอนช์	staunch
สตอเลอร์	stahler
สตั๊ตส์เมิ่น	stutsman
สตารินา	starina
สตาร์ส	starrs
สติล	still
สนูปปี	snoopy
สปอนดี	spondee
สปีเกิลเมิ่น	spiegelman
สมอลล์เบียร์	small beer
สลีปเปอร์	sleeper
สล็อต	slott
สล็อบ	slob
สวันเต	svante
สวิตชิ่ง	switching
สวินเดิน	swindon
สวิฟต์, โจนาทาน	swift, jonathan
สเตนเนอร์	stainer
สเตฟ	stave
สเตเตอร์	stator
สเปกโทรเมตรี	spectrometry
สเปนเซอร์, เฮอร์เบิร์ต	spencer, herbert
สแกมปี	scampi
สแตรตเติ้น	stratton
สแตรทดี้	strathdee
สแตรเนอแฮน	stranahan
สแตร็ดลิ่ง	stradling
สแต็กส์	staggs
สแต็มเพอร์	stamper
สแนกบาร์	snack bar
สแปท	spath
สแปนเยิล	spaniol
สโตนีย์	stoney
สโตนเมิน	stoneman
สโตเวอร์	stover
สโปรล์ส	sproles
สโลต	sloat
สโลเมิ่น	sloman
สไตน์ฮาดต์	steinhardt
สไลด์	slide
อบินดรอท	abendroth
ออกซิซอลส์	oxisols
ออทไฮเมอร์	ostheimer
ออนซ์	ounce
ออนเดริส	andras
ออพติมิสต์	optimist
ออริจ	orridge
ออสมิงตัน	osmington
ออเดน	auden
ออเลอท่า	aletha
อะซุนซิโอน	asuncion
อะฟลาทอกซิน	aflatoxin
อะมาร์นา	amarna
อะมีบา	amoeba
อะลาคลอร์	alachlor
อะลิฟาทิกไฮดรอกซีแอซิด	aliphatic hydroxy acids
อะเลฟ	aleph
อะเล็กซานไดรต์	alexandrite
อะโครมาติกเลนส์	achromatic lens
อัตโต	atto
อันวิน, เซอร์เรย์มอนด์	unwin, sir raymond
อันเดอร์วูด	underwood
อันเตอนีเอตี้	antonietti
อัสมารา	asmara
อัสเซนชัน	ascension
อาการ์ด	aagaard
อาบาบา	ababa
อาร์คิเทกเชอร์	architecture
อาร์คีมีดีส	archimedes
อาร์วีย์	arvey
อาร์เจนไทต์	argentite
อาร์เจอี	rje
อาร์เซนอล	arsenal
อาแรต	arete
อิกนิมไบรต์	ignimbrite
อิงกลีส	inglis
อิมเบิร์ต	imbert
อิเล็กโทรไฟล์	electrophile
อีซี	ec
อีดีทีเอ	edta
อีรีตอน	ireton
อีเควเตอร์	equator
อีเทิน	ethan
อีเนส	inez
อีเอ็ดดูเคชัน	e-education
อีแวนเจลิคัล	evangelical
อูนนิลเฮกเซียม	unnilhexium
อูลานบาตอร์	ulan bator
อโปดาค่า	apodaca
อไบรึน	obyrne
ฮอร์นบี้	hornby
ฮอลเทอร์	halter
ฮอเบิ้น	hoben
ฮอเลนเดอร์	hollaender
ฮับเบิล	hubbell
ฮัสส์	huss
ฮาชิ	hashi
ฮาร์ดคอร์	hard-core
ฮาร์ตฟอร์ดเชียร์	hertfordshire
ฮาร์น	harn
ฮาร์เปอร์	harpur
ฮาเวน	haven
ฮาโรลด์	harold
ฮิกคีย์	hickey
ฮิบรู	hebrew
ฮิล	heale
ฮีป	heap
ฮุสเซน	hussain
เกตวู๊ด	gatewood
เกรกอรี	gregory
เกลดส์	glades
เกลเซ็นเคอร์เชน	gelsenkirchen
เกวโล	quello
เกียร์ฮาร์ต	gearhart
เกเซอร์	gaiser
เคนนี	kenny
เคนิน	kanin
เคนเนดี, จอห์น ฟิตซ์เจรัลด์	kennedy, john fitzgerald
เคมเลอร์	kemler
เครซี	crazy
เครูแอก	kerouac
เคลย์ตัน	clayton
เคลเมิ่น	clayman
เคสซิลริ่ง	kesselring
เคอร์	ker
เคอร์ฟิว	curfew
เคิร์ช	kersh
เคิร์ท	kurth
เคิลล์ส	colles
เคเบิล	kable
เคโอลิน	kaolin
เจนนิเฟอร์	jennifer
เจน่า	gena
เจสัน	jason
เจอโคมีนี่	giacomini
เจโรม	jerome
เชร่า	shera
เชลป	schlepp
เชลล์	shell
เชลเบิร์น	shelbourne
เชสนัต	chesnut
เชเซิ่น	chasen
เชเพิร์ส	shapers
เซนต์บอนิฟัส	saintboniface
เซพูลเวด้า	sepulveda
เซลฟ์, คอลิน	self, colin
เซลลี	selly
เซอร์กี้	searcy
เซียบ	zerbe
เซเคิล	seckel
เซเคียวริตี	security
เซเวิร์น	severn
เดดล็อก	deadlock
เดนเวอร์	denver
เดฟรี่	devree
เดรสบัก	dresbach
เดลก์	delk
เดอนีโร่	deniro
เดอเลนี	delaney
เดาเลอร์	dowler
เดโซเนีย	desonia
เทกซ์	text
เทมิน	temin
เทรซี	tracy
เทลลูเรียม	tellurium
เทอริโกแพลาทีน	pterygopalatine
เทอริโกแมกซิลลา	pterygomaxillary
เทอร์คอยส์	turquoise
เทอร์โมนิวเคลียร์	thermonuclear
เทาว์เออร์	tower
เทาเบอร์	tauber
เนกาทีฟ	negative
เนครีส	nacreous
เนนส์	nanes
เนวิต	nevitte
เบกเกตต์	beckett
เบงเคิร์ต	benkert
เบดดี้	beddy
เบตสัน	bateson
เบนนิส	benice
เบนวิตส์	bennewitz
เบรดแดลเบิ่น	breadalbane
เบรนตาโน้	brentano
เบรนเนอร์	brenner
เบรุต	beirut
เบรเดิ้น	braden
เบลซซิ่งสตาร์	blazing star
เบลมอร์	belmore
เบลลีโน	bellino
เบลี	bailie
เบอร์ลินเนอร์	berliner
เบอร์เบิน	bourbon
เบาด์เลอร์	bowdler
เบิร์กเชียร์	berkshire
เบิร์กเมิน	bergman
เบิร์กโฮลส์	bergholz
เบิร์ดอายวิว	bird's-eye view
เบเนิส	benas
เบเลอฟอนที	belafonte
เปอาโน	peano
เปโตรกลีฟ	petroglyph
เพกะซัส	pegasus
เพต	pate
เพทราร์ก	petrarch
เพนนี	penny
เพอร์เฮิม	perham
เพอเดิล	padel
เพอเริ่ล	peral
เพาอิส	powis
เพิตเตอร์โนสเตอร์	paternoster
เพิร์ส	purse
เฟนเนอร์	fenner
เฟลมมิ่งส์	flemings
เฟลวิน	flavin
เฟลอร์ เดอลีส์	fleur-de-lis
เฟอร์นัลด์	fernald
เฟาต์ส	fouts
เฟเบียน	fabian
เมซูราโด	mesurado
เมตส์	metz
เมทาไฟตา	metaphyta
เมทเวิ่น	methven
เมย์แบรี่	maybury
เมลเลนแคมป์, จอห์น (คูการ์)	mellencamp, john (cougar)
เมอร์ฟี, เอดดี	murphy, eddie
เมอร์วิ้น	mervin
เมอร์แมน	merman
เมอเซิล	meusel
เมาท์ออร์แกน	mouthorgan
เมาน์เทอเวิ่นส์	mountevans
เมิกครี่	mccree
เมิกคาร่า	macara
เมิกไบรด์	mcbride
เมิร์นส์	mearns
เมิ่กคัชเชิน	mccutcheon
เมิ่กแคร์เริล	mccarroll
เมิ่กแนร์	mcnair
เมเลอบี้	malaby
เมเลิน	meland
เมแคนิก	mechanic
เม็ดเฟิร์ด	medford
เยอร์เกินส์	juergens
เรดไวน์	red wine
เรนจ์	range
เรนเจอร์	ranger
เรอเน	rene
เราป์	raupe
เรเดิ่น	raiden
เลตตี้	lettie
เลตเตอร์เพรส	letterpress
เลนีย์	laney
เลปก์	lepke
เลปเพิร์ต	leppert
เลห์เรอร์, จิม	lehrer, jim
เลอเชิน	lejeune
เลเซอร์	lazar
เลเนิร์ต	lenart
เลแฟร็ก	lefrak
เลโซโท	lesotho
เวกฟอร์ด	wakeford
เวดดิ้งเติ้น	weddington
เวตส์	wertz
เวนต์	vent
เวนต์ส	wentz
เวย์เลินด์	wayland
เวลต์เมิ่น	weltman
เวอร์	heaver
เวอร์ติกัล	vertical
เวอร์เคอเลอร์	verkler
เวิร์ทส	wirths
เวเดอร์	vader
เอกซีเตอร์	exeter
เอคินส์	aikens
เองเกอร์	enger
เอดดิงส์	eddings
เอดสัน	edson
เอดิ้งเติ้น	edington
เอดีซี	adc
เอดีพี	adp
เอพิโดต	epidote
เอมโบไลต์	embolite
เอรอนีมูส	heironimus
เอริงเติ้น	arrington
เอลบา	elba
เอลาดา	helada
เอสการ์โก	escargot
เอสดีบี	sdb
เอสปิญาล	espinal
เอสวีไอ	svi
เอสเกอร์	esker
เออรี่โก้	origo
เออร์วิง, จอห์น	irving, john
เออร์เจนต์	urgent
เออร์เนอร์	urner
เออเล็ก	aleck
เอากุสต์	august
เอาต์ลอว์	outlaw
เอิบเบ็ต	abbett
เอิปบูด	abboud
เอิลลัต	allot
เอิลลิน	allin
เอเตอร์	ator
เอเปก	apec
เอ็นทีเอสซี	ntsc
เอ็นโอเออีแอล	noael
เอ็มบีเอ	mba
เอ็มพีเอ็น	mpn
เอ็มเอดี	mad
เฮกซะโกนัล	hexagonal
เฮการ์	hagar
เฮกเลอร์	hechler
เฮกโตเมตร	hectometre
เฮดส์	heads
เฮตทิช	hettich
เฮบ	hebb
เฮปเบิร์น, แคทารีน	hepburn, katharine
เฮฟตี้	hefty
เฮมเมิ่นเวย์	hemenway
เฮยิก	hayek
เฮลด์ จูเนียร์, จอห์น	held jr., john
เฮล์ม	helm
เฮาส์	house
เฮิร์ตซอก	hertzog
เฮเทอโรไซคลิก	heterocyclic
เเมเรียส	marius
แกลสเติ้น	galston
แก๊ก	gag
แคชิน	cashin
แคดเวลล์	cadwell
แคนส์	cance
แคนเซิล	cancell
แคพิลลารีแอคชัน	capillary action
แคมป์โทไนต์	camptonite
แคริบู	caribou
แคลรี่	clary
แคลส	clas
แควิเตชัน	cavitation
แคสเนอร์	kassner
แคสเลอร์	kassler
แคเรน	karen
แจลูอิต	jaluit
แจเซิ่น	jasen
แจ็กเกต	jacket
แชนลีย์	shanley
แชร์ริงเติ้น	sherrington
แชร์ริฟฟ์	sherriff
แชร์เริก	sharrock
แชเกิลเติ้น	shackleton
แชเปอโรน	chaperone
แซนทรี่	santry
แซโพรไลต์	saprolite
แซ็ดเดอเลอร์	saddler
แทงโก	tango
แทรนซิชัน	transition
แทลไฮเมอร์	thalheimer
แนร์	nair
แบนิช	banish
แบนเวล	banwell
แบริโทน	baritone
แบร์รีมอร์	barrymore
แบลลัสต์	ballast
แบล็กคี่	blackie
แบสเคอร์วิล	baskerville
แบสเฟิร์ด	basford
แบเรียม	barium
แบไรต์	barite
แบ็กเลิ่นด์	backlund
แบ็กโฮ	backhoe
แพนเตอร์	panter
แพนโทไมม์	pantomime
แพพีโน่	papineau
แพสเสจ	passage
แพ็ก	pack
แฟงก์เฮาเซอร์	fankhauser
แฟนซีเค้ก	fancy cake
แฟมิลี	family
แฟรงก์	francke
แฟรงคลิน, เบนจามิน	franklin, benjamin
แฟร์ริล	ferrell
แมกาซีน	magazine
แมท	math
แมนเนาแฮน	manahan
แมลคอล์ม, เอ็กซ์	malcolm, x
แมลิต	mallet
แมสเซิ่ก	massac
แมเจสตี	majesty
แมเดลิน	madeleine
แม็กซิมัลโพรเจ็กชัน	maximalprojection
แรนสัน	ranson
แรบไบ	rabbi
แรมสตัด	ramstad
แรวิเนล	ravenel
แรสเมิสเซิ่น	rasmussen
แลงแคเชียร์	lancashire
แลตที่	latty
แลนนิ่ง	lanning
แลฟวิส	lavis
แลมบ์ดาแคลคูลัส	lambda calculus
แลมุโร	lamoureux
แวนดอยเซิ่น	vandeusen
แว็กเมิ่น	wagman
แองเกิส	angas
แอดอลเฟิส	adolphus
แอนติไซโคลน	anticyclone
แอฟต์	aft
แอฟฟลิก	affleck
แอฟริกา	africa
แอมิก	amick
แอมโมเนีย	ammonia
แอลซีดี	lcd
แอลตี้	alty
แอลพีจี	lpg
แอลวีย์	alvey
แอลีสัน	allyson
แอลโลไทป์	allotype
แอลโอดี	lod
แอสเซมบลี	assembly
แอ็กสต์	akst
แอ็ปเบ็นด์	abend
แอ็สปิ้น	aspin
แฮกลูต	hakluyt
แฮนเดิล, จอร์จ เฟรเดริก	handel, george frederic
แฮนเมอร์	hanmer
แฮบิกต์	habicht
แฮม	ham
แฮมิลตัน	hamiton
แฮรึส	hares
แฮลลิต	hallet
แฮลสติด	halsted
แฮลโคร	halcrow
แฮสลิต	hazlett
โกคาร์ต	go-kart
โกตดิวัวร์	cote d'lvoire
โกรเกิ่น	grogan
โกลบ้า	kolba
โกส	gose
โค	coe
โคทิโลซอร์	cotylosaur
โคบอล	cobol
โครเอเธีย	croatia
โคลสลอว์	coleslaw
โคแพน	kopan
โจน่าห์	jonah
โจแอน	joanne
โซน	soane
โซลาริมิเตอร์	solarimeter
โซโลมอน	solomon
โนน	nown
โบอิง	boink
โบอิล	bowhill
โบโลนาซอเซจ	bologna sausage
โพคาฮอนทัส	pocahontas
โพรลิเฟอเรชัน	proliferation
โพรโทซัว	protozoa
โฟนอน	phonon
โมนอยด์	manoid
โมโลไค	molokai
โรซาลิน	rosaline
โรมานี่	romani
โรสวูด	rosewood
โรห์เมอร์	rohmer
โรเซนส์ไวก์	rosenzweig
โรโกโก	rococo
โรโซ	roseau
โล	loe
โลเวอร์	lower
โวเกอเลอร์	vogeler
โอกรา	okra
โอเปก	opaque
โอเวอร์เบอรี	overbury
โอเวอร์เฮดโปรเจกชัน	overhead-projection
โอเอ็มอาร์	omr
ไกลโคเจน	glycogen
ไคตัน	chiton
ไคนด์เนิส	kindness
ไครสเลอร์	kreisler
ไควร์	quire
ไชน์	shine
ไซนส์	sines
ไดรเออร์	dreier
ไดเวอเจนซ์	divergent
ไดแซ็กคาโรส	disaccharose
ไททันออไจต์	titanaugite
ไทรโพลีฟอสเฟต	tripolyphosphate
ไทโซโทรพี	thixotropy
ไนทริก	nitric
ไบรดินบัก	breidenbach
ไบส์	bice
ไบเดส	bidez
ไบเดอร์	byder
ไบแซนทิอัม	byzantium
ไฟซอล	fisal
ไฟโบรติก	fibrotic
ไมโครวิลไล	microvilli
ไมโล	milo
ไรย์เดิ่น	ryden
ไรเดอร์, วิโนนา	ryder, winona
ไลชี	lychee
ไลนด์เบิร์ก	lindberg
ไลเอิล	lyal
ไวต์ล็อก	whitelock
ไวลด์	wild
ไวเกิล	weigel
ไวเอท	wyeth
ไวเฮอร์	weiher
ไอซานอมาลัส	isanomalous
ไอซิง	icing
ไอซแลนด์	iceland
ไอวีย์	ivey
ไอเคินเบาม์	eichenbaum
ไฮน์เซิ่น	heinsohn
