AACHEN	아헨
BLOCH	블로크
BLOCK	블록
BLOEMFONTEIN	블룸폰테인
BLOK	블로크
BLOOMBERG	블룸버그
BLOOMFIELD	블룸필드
BLOOMINGTON	블루밍턴
BLOUNT	블라우트
BLUFF	블러프
BLUMBERG	블럼버그
BLUMENBACH	블루멘바흐
BLUNDEN	블런던
BLY	블라이
BO	보
BOAS	보애스
BOB	밥
BOBBY	보비
BOCAGE	보카제
BOCCACCIO	보카치오
BOCCHERINI	보케리니
BOCCIONI	보초니
BODE	보데
BODIN	보댕
BODO	보도
BOER	보어
BOERHAAVE	부르하페
BOERNER	뵈르너
BOETHIUS	보이티우스
BOGARDE	보가드
BOGHOSSIAN	보고시앙
BOGOMOLOV	보고모로프
BOGOTA	보고타
BOHEMIA	보헤미아
BOHR	보어
BOHUSLAV	보후슬라프
BOILEAU	부알로
BOISE	보이시
BOJER	보예르
BOLIVIA	볼리비아
BOLKIAH	볼키아
BOLTON	볼턴
BOLZANO	볼차노
BONAPARTE	보나파르트
BONDI	본디
BONDS	본즈
BONGO	봉고
BONHAM	본햄
BONHOEFFER	본회퍼
BONN	본
BONNARD	보나르
BONNER	보너
BONNET	보네
BONNEVILLE	보네빌
BONNEY	보니
BONNICI	보니치
BONOMI	보노미
BONSELS	본젤스
BONTEMPELLI	본템펠리
BOOLE	불
BOOTH	부드
BOOTHROYD	부스로이드
BOPHUTHATSWANA	보프타츠와나
BOPP	보프
BORCHARDT	보르하르트
BORCHERT	보르헤르트
BORDEAUX	보르도
BORGE	보르그
BORGES	보르헤스
BORGIA	보르자
BORING	보링
BORIS	보리스
BORJA	보르하
BORLAUG	볼로그
BORN	보른
BORODIN	보로딘
BORROW	보로
BORST	보르스트
BOSANQUET	보상케
BOSCH	보슈
BOSE	보스
BOSSUET	보쉬에
BOSTIC	보스틱
BOSTON	보스턴
BOSWELL	보즈웰
BOSWORTH	보즈워스
BOTH	보스
BOTHA	보타
BOTHE	보테
BOTSFORD	보츠포드
BOTSWANA	보츠와나
BOTTICELLI	보티첼리
BOUCHARD	부샤르
BOUCHER	바우처
BOUGAINVILLE	부건빌
BOUILLON	부이용
BOULANGER	불랑제
BOULDER	보울더
BOULT	보울트
BOURGEOIS	부르주아
BOURGET	부르제
BOURKE	보크
BOURNE	본
BOURNONVILLE	부르농빌
BOUSSINESQ	부스네스크
BOUTS	보츠
BOVERI	보베리
BOVET	보베
BOWDEN	보우덴
BOWDLER	보들러
BOWEN	보엔
BOWIE	보위
BOWKER	보우커
BOWLES	볼스
BOWMAN	보먼
BOWRING	보우링
BOWYER	바우어
BOYCE	보이스
BOYE	보위에
BOYER	보이어
BOYLE	보일
BRACTON	브랙턴
BRAD	브래드
BRADBURY	브래드버리
BRADFORD	브레드포드
BRADLEY	브래들리
BRADSTREET	브래드스트리트
BRADY	브래디
BRAGG	브래그
BRAHAM	브래험
BRAHM	브람
BRAHMS	브람스
BRAINE	브레인
BRAM	브람
BRAND	브랜드
BRANDENBURG	브란덴부르크
BRANDES	브라데스
BRANDON	브랜던
BRANDT	브란트
BRANGWYN	브랭귄
BRANNER	브라네르
BRANT	브란트
BRANTING	브란팅
BRASILIA	브라질리아
BRASSENS	브라상스
BRASSEUR	브라쇠르
BRATISLAVA	브라티슬라바
BRATTAIN	브래튼
BRATTELI	브라텔리
BRAUN	브라운
BRAUNS	브론즈
BRAZIL	브라질
BRAZZAVILLE	브라자빌
BRECHT	브레히트
BREMEN	브레멘
BREMER	브레메르
BREMERHAVEN	브레머하펜
BRENAN	브레넌
BRENDA	브렌다
BRENDAN	브렌던
BRENDEL	브렌델
BRENT	브렌트
BRENTANO	브렌타노
BRESCIA	브레시아
BRET	브렛
BRETON	브레튼
BRETT	브레트
BREUER	브로이어
BREYER	브레이어
BREZHNEV	브레주네프
BRIAN	브라이언
BRIAND	브리앙
BRIDGEPORT	브리지포트
BRIDGETOWN	브리지타운
BRIDIE	브라이디
BRIGGS	브리그스
BRIGHT	브라이트
BRIGHTMAN	브라이트만
BRIGHTON	브라이튼
BRIGITTE	브리짓
BRINDLEY	브린들리
BRISBANE	브리즈번
BRISCOE	브리스코
BRISTOL	브리스틀
BRITTAN	브리튼
BRITTEN	브리튼
BRNO	브르노
BROADBENT	브로드벤트
BROADWAY	브로드웨이
BROCH	브로흐
BROCKMAN	브로크만
BRODSKY	브로드스키
BRODY	브로디
BROGLIE	브로글리
BROMFIELD	브롬필드
BROMLEY	브롬리
BRONTE	브론테
BRONZINO	브론치노
BROOK	브룩
BROOKE	브룩
BROOKES	브룩스
BROOKINGS	브루킹스
BROOKLYN	브루클린
BROOKS	브룩스
BROWN	브라운
BROWNE	브라운
BROWNING	브라우닝
BRUANT	브뤼앙
BRUCE	브루스
BRUCH	브루흐
BRUCKNER	브루크너
BRUIN	브륀
BRUNAT	브뤼나
BRUNDAGE	브런디지
BRUNDTLAND	브룬틀란
BRUNEI	브루나이
BRUNEL	브루넬
BRUNI	브루니
BRUNNER	브루너
BRUNO	브루노
BRUSSELS	브뤼셀
BRUTUS	브루투스
BRYAN	브라이언
BRYANT	브라이언트
BRYCE	브라이스
BRYNNER	브리너
BRYULLOV	브률로프
BRYUSOV	브류소프
BRZEZINSKI	브레진스키
BUBER	부버
BUCH	부흐
BUCHANAN	뷰캐넌
BUCHAREST	부카레스트
BUCHENWALD	부헨발트
BUCHNER	부흐너
BUCK	펄
BUCKINGHAMSHIRE	버킹엄셔
BUCKLE	버클
BUDAPEST	부다페스트
BUFFALO	버펄로
BUFFON	뷔퐁
BUFORD	버포드
BUHARI	부하리
BUISSON	뷔송
BUJUMBURA	부줌부라
BUKHARIN	부하린
BULGAKOV	불가코프
BULGANIN	불가닌
BULGARIA	불가리아
BULLOCK	불럭
BUNCHE	번치
BUNDY	번디
BUNIN	부닌
BUNSEN	분젠
BUNYAN	번얀
BUONARROTI	부오나로티
BURBANK	버뱅크
BURCKHARDT	부르크하르트
BURDIN	버딘
BURG	부르그
BURGER	버거
BURGUNDY	부르고뉴
BURIDAN	뷔리당
BURKE	버크
BURLINGTON	버링톤
BURMA	버마
BURMAN	버마
BURNET	버넷
BURNETT	버넷
BURNEY	버니
BURNHAM	번햄
BURNS	번스
BURR	버
BURROUGHS	버로스
BURROWS	버로우즈
BURSTEIN	버스타인
BURTON	버턴
BURUNDI	부룬디
BURY	버리
BUSBY	버스비
BUSCH	부슈
BUSH	부시
BUSHMAN	부시먼
BUSIA	부시아
BUSONI	부소니
BUSSE	부세
BUSWELL	버스웰
BUTENANDT	부테난트
BUTLER	버틀러
BUTTE	뷰트
BUTTERFIELD	버터필드
BUTTERWORTH	버터워스
BUXTEHUDE	북스테후데
BYELORUSSIA	벨로루시
BYERS	바이어스
BYRD	버드
BYRNE	번
BYRNES	번스
BYRON	바이런
CABELL	캐벌
CABOT	캐벗
CABRAL	카브랄
CABRERA	카브레라
CACERES	카세레스
CADILLAC	캐딜락
CADIZ	카디스
CAEN	캉
CAESAR	시저
CAETANO	까에따누
CAGE	케이지
CAGLIARI	칼리아리
CAIN	카인
CAINE	케인
CAIRD	케어드
CAIRNES	케언스
CAIRNS	케인즈
CAIRO	카이로
CAJORI	카조리
CALAIS	칼레
CALCUTTA	캘커타
CALDECOTT	콜더컷
CALDER	콜더
CALDERON	깔데론
CALDERWOOD	칼더우드
CALDWELL	콜드웰
CALFA	찰파
CALGARY	캘거리
CALHOUN	칼훈
CALI	칼리
CALIFORNIA	캘리포니아
CALVIN	칼뱅
CALVINO	칼비노
CALYPSO	칼립소
CAMARA	카마라
CAMARGO	카마르고
CAMBIASO	캄비아소
CAMBODIA	캄보디아
CAMBRIDGE	케임브리지
CAMDEN	캠던
CAMDESSUS	캉드쉬
CAMERARIUS	카메라리우스
CAMERON	캐머런
CAMEROON	카메룬
CAMILLA	카밀라
CAMILLE	카미유
CAMILLO	카밀로
CAMILO	카밀로
CAMPANELLA	캄파넬라
CAMPBELL	캠벨
CAMPER	캄페르
CAMPIGLI	캄필리
CAMPO	캄포
CAMPOS	캄푸스
CAMPRA	캉프라
CAMUS	카뮈
CANADA	캐나다
CANADIAN	캐나디안
CANALETTO	카날레토
CANARO	카나로
CANBERRA	캔버라
CANDELA	캉델라
CANDICE	캔디스
CANDOLLE	캉돌
CANETTI	카네티
CANNING	캐닝
CANNON	캐넌
CANOVA	카노바
CANTERBURY	캔터베리
CANTH	칸트
CANTON	광둥
CANTOR	칸토어
CAPA	카파
CAPLET	캐플릿
CAPONE	카포네
CAPOTE	커포티
CAPRA	캐프라
CAPRI	카프리
CAPRIVI	카프리비
CAPUANA	카푸아나
CAPUTO	카푸토
CARACAS	카라카스
CARAGIALE	카라지알레
CARAVAGGIO	카라바조
CARD	카드
CARDANO	카르다노
CARDENAS	카르데나스
CARDIFF	카디프
CARDINAL	카디날
CARDINALE	카르디날레
CARDUCCI	카르두치
CAREY	케리
CARL	카를
CARLEY	칼리
CARLISLE	칼라일
CARLO	카를로
CARLOS	카를로스
CARLSON	칼슨
CARLSSON	칼손
CARLYLE	칼라일
CARMEL	카르멜
CARMEN	카르멘
CARMICHAEL	카마이클
CARMONA	카모나
CARNAP	카르납
CARNARVON	카나본
CARNEGIE	카네기
CARNEY	카니
CARNOT	카르노
CARO	카로
CAROL	캐럴
CAROLE	캐롤
CAROLINA	캐롤라이나
CAROLINE	캐롤라인
CAROLYN	캐럴린
CAROTHERS	캐러더스
CARPACCIO	카르파초
CARPENTER	카펜터
CARPENTIER	카르펜티에르
CARPINI	카르피니
CARR	카
CARRERA	카레라
CARRINGTON	캐링턴
CARROLL	캐롤
CARRY	케어리
CARSON	카슨
CARTAGENA	카르타헤나
CARTAN	카르탕
CARTER	카터
CARTIER	카르티에
CARTWRIGHT	카트라이트
CARUSO	카루소
CARVALHO	카르발료
CARVER	카버
CARY	캐리
CASABLANCA	카사블랑카
CASADESUS	카자드쥐
CASALS	카살스
CASANOVA	카사노바
CASELLA	카셀라
CASEY	케이시
CASH	캐시
CASPER	캐스퍼
CASSANDRA	카산드라
CASSANDRE	카상드르
CASSEL	카셀
CASSELL	카셀
CASSIDY	캐시디
CASSIN	카생
CASSINI	카시니
CASSOU	카수
CASTIGLIANO	카스틸리아노
CASTIGLIONE	카스틸리오네
CASTLEREAGH	캐슬레이
CASTRIES	캐스트리스
CASTRO	카스트로
CATALONIA	카탈로니아
CATANIA	카타니아
CATE	케이트
CATES	케이츠
CATHER	캐더
CATHERINE	카트린
CATHY	캐시
CATILINA	카틸리나
CATO	카토
CATON	케이튼
CATTELL	커텔
CAUCASUS	코카서스
CAUCHY	코시
CAVAIGNAC	카베냐크
CAVALCANTI	카발칸티
CAVENDISH	캐번디시
CAVOUR	카보우르
CAXIAS	카시아스
CAYENNE	카옌
CECCHETTI	체케티
CECH	체크
CECIL	세실
CECILIA	세실리아
CEDRIC	세드릭
CELAN	첼란
