A'MARIE	ಅಮಾರೀ
ABDUL MUHAAYMIN	ಅಬ್ದುಲ್ ಮುಹಾಯಮೀನ್
ABDUL MUHAYI	ಅಬ್ದುಲ್ ಮುಹಾಯಿ
ABDUL MUID	ಅಬ್ದುಲ್ ಮುಯೀದ್
ABDUL MUJEEB	ಅಬ್ದುಲ್ ಮುಜೀಬ್
ABDUL MUNIM	ಅಬ್ದುಲ್ ಮುನೀಂ
ABDUL MUQSIT	ಅಬ್ದುಲ್ ಮುಕ್ಸೆತ್
ABDUL MUSAWWIR	ಅಬ್ದುಲ್ ಮುಸವ್ವಿರ್
ABDUL MUTI	ಅಬ್ದುಲ್ ಮುತಿ
ABDUL MUZANNI	ಅಬ್ದುಲ್ ಮುಜಾನ್ನಿ
ABDUL QADEER	ಅಬ್ದುಲ್ ಖಾದಿರ್
ABDUL QAHHAR	ಅಬ್ದುಲ್ ಕಹಾರ್
ABDUL QAYYOOM	ಅಬ್ದುಲ್ ಕಯ್ಯೂಮ್
ABDUL RAHEEM	ಅಬ್ದುಲ್ ರಹೀಂ
ABDUL RAHIM	ಅಬ್ದುಲ್ ರಹೀಂ
ABDUL TAWWAB	ಅಬ್ದುಲ್ ತವ್ವಾಬ್
ABDUL WAAJID	ಅಬ್ದುಲ್ ವಾಜಿದ್
ABDUL WADUD	ಅಬ್ದುಲ್ ವದೂದ್
ABDUL WAHAAB	ಅಬ್ದುಲ್ ವಹಾಬ್
ABDUL WAHHAB	ಅಬ್ದುಲ್ ವಹಾಬ್
ABDUL WAHID	ಅಬ್ದುಲ್ ವಹೀದ್
ABDUL WAJEED	ಅಬ್ದುಲ್ ವಜೀದ್
ABDUL WALEE	ಅಬ್ದುಲ್ ವಲೀ
ABDUL WALIY	ಅಬ್ದುಲ್ ವಲೀ
ABDUL WARITH	ಅಬ್ದುಲ್ ವರೀತ್
ABDULLAH	ಅಬ್ದುಲ್ಲಾ
ABDUR RAHAMAN	ಅಬ್ದುರ್ ರಹಮಾನ್
ABDUR RAUF	ಅಬ್ದುರ್ ರವೂಫ್
ABDUS	ಅಬ್ದುಸ್
ABDUS SABOOR	ಅಬ್ದುಸ್ ಸಬೂರ್
ABDUS SABUR	ಅಬ್ದುಸ್ ಸಬೂರ್
ABDUS SALAAM	ಅಬ್ದುಸ್ ಸಲಾಂ
ABDUS SAMEEI	ಅಬ್ದುಸ್ ಸಮೀ
ABDUS SHAHEED	ಅಬ್ದುಸ್ ಶಹೀದ್
ABDUS SHAKUR	ಅಬ್ದುಸ್ ಶಕೂರ್
ABEERAA	ಅಬೀರಾ
ABEL PRIZE	ಏಬೆಲ್ ಪ್ರೈಜ್
ABERDARE	ಅಬೆದಾರೆ
ABERDEEN	ಅಬರ್ಡೀನ್
ABHAIPUR	ಅಭಯ್‌ಪುರ್
ABHAY	ಅಭಯ್
ABHAYA	ಅಭಯ
ABHAYANANDA	ಅಭಯಾನಂದ
ABHAYNANDA	ಅಭಯ್‌ನಂದ
ABHEEK	ಅಭೀಕ್
ABHEER	ಅಭೀರ್
ABHIBHAV	ಅಭಿಭಾವ್
ABHIHIT	ಅಭಿಹಿತ್
ABHIJATY	ಅಭಿಜಾತ್ಯ
ABHIJIT KALE	ಅಭಿಜಿತ್ ಕಾಳೆ
ABHIJVALA	ಅಭಿಜ್ವಲ
ABHIJWAALA	ಅಭಿಜ್ವಾಲ
ABHIJWAALAA	ಅಭಿಜ್ವಾಲಾ
ABHIJWALA	ಅಭಿಜ್ವಾಲ
ABHILASAHAA	ಅಭಿಲಾಷಾ
ABHIMAAN	ಅಭಿಮಾನ್
ABHIMANYU	ಅಭಿಮನ್ಯು
ABHINABHAS	ಅಭಿನಭಾಸ್
ABHINANDA	ಅಭಿನಂದಾ
ABHINANDAA	ಅಭಿನಂದಾ
ABHINANDAN	ಅಭಿನಂದನ್
ABHINAV	ಅಭಿನವ್
ABHIROOP	ಅಭಿರೂಪ್
ABHIRU	ಅಭೀರು
ABHIRUP	ಅಭಿರೂಪ
ABHISHEK	ಅಭಿಷೇಕ್
ABHISHOK	ಅಭಿಶೋಕ್
ABHISHOKA	ಅಭಿಶೋಕ
ABHISOK	ಅಭಿಶೋಕ್
ABHISOKA	ಅಭಿಶೋಕ
ABHISUMAT	ಅಭಿಸುಮತ್
ABHISYANT	ಅಭಿಷ್ಯಂತ್
ABHISYANTA	ಅಭಿಷ್ಯಂತ
ABHR	ಅಭ್ರ
ABHRA	ಅಭ್ರ
ABHRAKASIN	ಅಭ್ರಕಾಸಿನ್
ABHUR	ಅಭುರ್
ABHYUDAY	ಅಭ್ಯುದಯ್
ABHYUDITA	ಅಭ್ಯುದಿತಾ
ABINGTON	ಅಬಿಂಗ್ಟನ್
ABNUR	ಅಬ್ನೂರ್
ABODH	ಅಬೋಧ್
ABOHAR	ಅಬೋಹರ್
ABOU BEN ADHEM	ಅಬು ಬೆನ್ ಅಧೇಮ್
ABRAD	ಅಬ್ರಾದ್
ABRASH	ಅಬ್ರಾಶ್
ABUL FAZAL	ಅಬುಲ್ ಫಜಲ್
ABUNDANT LIFE CHRISTIAN FELLOWSHIP	ಅಬಂಡಂಟ್ ಲೈಫ್ ಕ್ರಿಶ್ಚಿಯನ್ ಫೆಲೊಶಿಪ್
ABYAD	ಅಬ್ಯಾದ್
ACCALIA	ಎಕಾಲಿಯಾ
ACHAARYANANDANA	ಆಚಾರ್ಯನಂದನ
ACHAARYNANDAN	ಆಚಾರ್ಯನಂದನ್
ACHAARYNANDANA	ಆಚಾರ್ಯನಂದನ
ACHALAA	ಅಚಲಾ
ACHALDA	ಅಚಲ್ಡಾ
ACHALESHVAR	ಅಚಲೇಶ್ವರ್
ACHALESVAR	ಅಚಲೇಶ್ವರ್
ACHALESVARA	ಅಚಲೇಶ್ವರ
ACHALESWARA	ಅಚಲೇಶ್ವರ
ACHALGANJ	ಅಚಲ್‌ಗಂಜ್
ACHAND	ಅಚಂದ್
ACHARYANANDANAA	ಆಚಾರ್ಯನಂದನಾ
ACHARYASUT	ಆಚಾರ್ಯಸುತ
ACHARYASUTA	ಆಚಾರ್ಯಸುತ
ACHARYNANDANA	ಆಚಾರ್ಯನಂದನ
ACHARYNANDANAA	ಆಚಾರ್ಯನಂದನಾ
ACHARYSUT	ಆಚಾರ್ಯಸುತ
ACHARYSUTA	ಆಚಾರ್ಯಸುತ
ACHCHA BURA	ಅಚ್ಛಾ ಬುರಾ
ACHHNERA JUNCTION	ಅಚ್ನೆರಾ ಜಂಕ್ಷನ್
ACHINDRA	ಅಚಿಂದ್ರ
ACHINTY	ಅಚಿಂತ್ಯ
ACHINTYA	ಅಚಿಂತ್ಯ
ACHYUTRAAY	ಅಚ್ಯುತರಾಯ
ACHYUTRAY	ಅಚ್ಯುತರಾಯ
ACROPOLIS MUSEUM	ಆರ್ಕೋಪೊಲೀಸ್ ಮ್ಯೂಸಿಯಂ
ACTIONS SEMICONDUCTOR	ಆಕ್ಷನ್ಸ್ ಸೆಮಿಕಂಡಕ್ಟರ್
ACTON	ಏಕ್ಟನ್
ACTRESS	ಆಕ್ಟ್ರೆಸ್
ACTUN KAUA	ಆಕ್ಟುನ್ ಕಾವಾ
ADAA	ಅದಾ
ADAIR	ಅಡೈರ್
ADAM BACHER	ಆದಂ ಬ್ಯಾಚರ್
ADARSHI	ಆದರ್ಶಿ
ADAWI	ಅದಾವಿ
ADBUL QAWI	ಅಬ್ದುಲ್ ಕಾವಿ
ADDIS ABABA	ಅಡ್ಡಿಸ್ ಅಬಾಬಾ
ADDISON	ಆಡಿಸನ್
ADDO ELEPHANT	ಅಡೋ ಎಲಿಫೆಂಟ್
ADELE	ಅಡೀಲ್
ADELIE	ಅಡೆಲೀ
ADERYN	ಏಡೆರಿನ್
ADESH	ಆದೇಶ್
ADGAON BUZURG	ಅದಗಾಂವ್ ಬುಜುರ್ಗ್
ADHEERAA	ಅಧೀರಾ
ADHIKAR	ಅಧಿಕಾರ್
ADHIKARI	ಅಧಿಕಾರಿ
ADHIWAR	ಅಧಿವರ್
ADHOKSHAJ	ಅಧೋಕ್ಷಜ
ADIDAS	ಆಡಿಡಾಸ್
ADILABAD	ಅದಿಲಾಬಾದ್
ADIMOORTI	ಆದಿಮೂರ್ತಿ
ADIMURTI	ಆದಿಮೂರ್ತಿ
ADINAARAYAN	ಆದಿನಾರಾಯಣ
ADIPUR	ಆದಿಪುರ್
ADISHREE	ಆದಿಶ್ರೀ
ADISHVAR	ಆದೀಶ್ವರ್
ADITY	ಆದಿತ್ಯ
ADITYAA	ಆದಿತ್ಯಾ
ADITYAPUR	ಆದಿತ್ಯಾಪುರ್
ADITYAVARDHAN	ಆದಿತ್ಯವರ್ಧನ್
ADLABS FILMS	ಆಡ್‌ಲ್ಯಾಬ್ ಫಿಲ್ಮ್ಸ್
ADOLF HITLER	ಅಡಾಲ್ಫ್ ಹಿಟ್ಲರ್
ADOLFO	ಆಡಾಲ್ಫೋ
ADOLPH	ಅಡಾಲ್ಫ್
ADONIA	ಅಡೋನಿಯಾ
ADONIS	ಅಡೋನಿಸ್
ADORA	ಅಡೋರಾ
ADRIAN	ಅಡ್ರಿಯಾನ್
ADRIAN KUIPER	ಅಡ್ರಿಯಾನ್ ಕೀಪರ್
ADRIANO	ಅಡ್ರಿಯಾನೊ
ADRIATIC	ಆಡ್ರಿಯಾಟಿಕ್
ADRIENNE	ಎಡ್ರೀನ್
ADVAAKI	ಅದ್ವಾಕೀ
ADVAY	ಅದ್ವೇ
ADVENT CHRISTIAN	ಆಡ್ವೆಂಟ್ ಕ್ರಿಶ್ಚಿಯನ್
ADWAAKEE	ಅದ್ವಾಕೀ
ADWAIT	ಅದ್ವೈತ್
ADWAKEE	ಅದ್ವಾಕೀ
ADYAN	ಆದ್ಯನ್
AEROBICS	ಏರೋಬಿಕ್ಸ್
AERONA	ಏರೋನಾ
AETNA	ಏಟ್ನಾ
AFADAL	ಅಫದಲ್
AFAF	ಅಫಾಫ್
AFAFURA	ಅಫಾಫುರಾ
AFASAANAA	ಅಫಸಾನಾ
AFASANA	ಅಫಸಾನಾ
AFDAL	ಅಫ್ದಲ್
AFIF	ಅಫೀಫ್
AFLATOON	ಅಫಲಾತೂನ್
AFLATOON AURAT	ಆಫಲಾತೂನ್ ಔರತ್
AFRA	ಅಫ್ರಾ
AFROZE	ಅಫ್ರೋಜ್
AFSANA PYAR KA	ಅಫ್ಸಾನಾ ಪ್ಯಾರ್ ಕಾ
AFTAB	ಅಫ್ತಾಬ್
AFTEK INFOSYS	ಅಫ್ಟೆಕ್ ಇನ್ಫೋಸಿಸ್
AGAATHA	ಅಗಾಥ
AGAATHAA	ಅಗಾಥಾ
AGAM	ಆಗಮ್
AGAPE	ಅಗಾಪೆ
AGAR TUM NA HOTE	ಅಗರ್ ತುಮ್ ನಾ ಹೋತೆ
AGARTALA	ಅಗರ್ತಲಾ
AGASTI	ಅಗಸ್ತಿ
AGATHAA	ಅಗಥಾ
AGATON FORT	ಅಗಟಾನ್ ಫೋರ್ಟ್
AGENT	ಏಜೆಂಟ್
AGENT VINOD	ಏಜೆಂಟ್ ವಿನೋದ್
AGHARR	ಅಗರ್
AGHWANPUR	ಅಗ್ವಾನ್‌ಪುರ್
AGNEEPATH	ಅಗ್ನಿಪಥ್
AGNI CHAKRA	ಅಗ್ನಿ ಚಕ್ರ
AGNI MORCHA	ಅಗ್ನಿ ಮೋರ್ಚಾ
AGNI PREM	ಅಗ್ನಿ ಪ್ರೇಮ್
AGNI REKHA	ಅಗ್ನಿ ರೇಖಾ
AGNIJ	ಅಗ್ನಿಜ್
AGNIJA	ಅಗ್ನಿಜ
AGNIKUMAAR	ಅಗ್ನಿಕುಮಾರ್
AGORI KHAS	ಅಗೋರಿಖಾಸ್
AGOROT	ಅಗೊರೊಟ್
AGOSH	ಆಗೋಶ್
AGOSTINO	ಅಗೋಸ್ಟಿನೋ
AGRA	ಆಗ್ರಾ
AGRA FORT	ಆಗ್ರಾ ಫೋರ್ಟ್
AGRAPOOJY	ಅಗ್ರಪೂಜ್ಯ
AGRAWAL	ಅಗರ್‌ವಾಲ್
AGRIMAA	ಅಗ್ರಿಮಾ
AHALYA	ಅಹಲ್ಯಾ
AHAMAD	ಅಹಮದ್
AHILYAA	ಅಹಿಲ್ಯಾ
AHINDRA	ಅಹೀಂದ್ರ
AHINSA	ಅಹಿಂನ್ಸಾ
AHLAADIT	ಆಹ್ಲಾದಿತ್
AHLADIT	ಆಹ್ಲಾದಿತ್
AHLAM	ಅಹ್ಲಮ್
AHMAD AL-ARABI AL-DARQAWI	ಅಹಮದ್ ಅಲ್-ಅರಾಬಿ ಅಲ್-ದರ್ಖಾವಿ
AHMAD AL-BAKKAI AL-KUNTI	ಅಹಮದ್ ಅಲ್-ಬಕ್ಕಾಯ್ ಅಲ್-ಕುಂತಿ
AHMADGARH	ಅಹಮದ್‌ಗಢ್
AHMADNAGAR	ಅಹಮದ್‌ನಗರ್
AHMED AL-BUNI	ಅಹಮದ್ ಅಲ್-ಬುನಿ
AHMED AR-RIFAI	ಅಹಮದ್ ಅರ್-ರಿಫಾಯ್
AHMED YESEVI	ಅಹಮದ್ ಯೆಸೆವಿ
AHMEDABAD	ಅಹ್ಮದಾಬಾದ್
AHNAF	ಅಹ್ನಾತ್
AHOBILAM	ಅಹೋಬಿಲಂ
AHSAN	ಅಹ್ಸಾನ್
AHWAHNEE	ಅಹ್ವಾನೆ
AHWAS	ಅಹ್ವಾಸ್
AHZAB	ಅಹ್ಜಾಬ್
AILEEN	ಐಲೀನ್
AIMEE	ಏಮೀ
AINSLEY	ಐನ್‌ಸ್ಲಿ
AINSLIE	ಐನ್‌ಸ್ಲಿ
AIR FRANCE KLM GROUP	ಏರ್ ಫ್ರಾನ್ಸ್ ಕೆಎಲ್ಎಂ ಗ್ರೂಪ್
AIR MAIL	ಏರ್ ಮೇಲ್
AIR-INDIA	ಏರ್-ಇಂಡಿಯಾ
AIRELL	ಏರೆಲ್
AISIN SEIKI	ಐಸಿನ್ ಸೈಕಿ
AISLINN	ಐಸ್ಲಿನ್
AITHAL	ಐತಲ್
AJAAD	ಆಜಾದ್
AJAATASHATRU	ಅಜಾತಶತ್ರು
AJAATSHATRU	ಅಜಾತ್‌ಶತ್ರು
AJAMIL	ಅಜಮಿಳ್
AJANTA ELLORA	ಅಜಂತಾ ಎಲ್ಲೋರಾ
AJAR	ಅಜರ್
AJARADAAH	ಅಜರದಾ
AJATSHATRU	ಅಜಾತ್‌ಶತ್ರು
AJAY	ಅಜಯ್
AJAY JADEJA	ಅಜಯ್ ಜಡೇಜಾ
AJEEB ITTEFAQ	ಅಜೀಬ್ ಇತ್ತೆಫಾಕ್
AJEEB LADKI	ಅಜೀಬ್ ಲಡಕಿ
AJEEBAAH	ಅಜೀಬಾ
AJENDRA	ಅಜೇಂದ್ರ
AJGAIN	ಅಜ್‌ಗೈನ್
AJIR ASOM	ಅಜಿರ್ ಅಸೋಮ್
AJISH	ಅಜೀಶ್
AJITAABH	ಅಜಿತಾಭ್
AJITESH	ಅಜಿತೇಶ್
AJLAH	ಅಜಿಲಾ
AJMAL	ಅಜ್ಮಲ್
AJMANI	ಅಜ್ಮಾನಿ
AJMER JUNCTION	ಆಜ್ಮೆರ್ ಜಂಕ್ಷನ್
AJNABI SAAYA	ಅಜನಬಿ ಸಾಯಾ
AJOOBA	ಅಜೂಬಾ
AJRADAAH	ಅಜ್ರದಾ
AJRADAH	ಅಜ್ರದಾ
AJWAAD	ಅಜ್ವಾಡ್
AJWAD	ಅಜ್ವಡ್
AKAAR	ಆಕಾರ್
AKALGADIYA	ಅಕಲ್‌ಗಡಿಯಾ
AKALKOT ROAD	ಅಕಲ್ಕೋಟ್ ರೋಡ್
AKALMAND	ಅಕಲ್ಮಂದ್
AKALMASH	ಅಕಲ್ಮಶ್
AKAR	ಆಕರ್
AKARSHAN	ಆಕರ್ಷಣ್
AKASH	ಆಕಾಶ್
AKASH PARI	ಆಕಾಶ್ ಪರಿ
AKASHA	ಆಕಾಶ
AKASHI-KAIKYO	ಅಕಾಶಿ-ಕೈಕ್ಯೊ
AKBARPUR	ಅಕಬರಪುರ್
AKEEL	ಅಕೀಲ್
AKELE HUM AKELE TUM	ಅಕೇಲೆ ಹಮ್ ಅಕೇಲೆ ತುಮ್
AKHAND SAUBHAGYAWATI	ಅಖಂಡ್ ಸೌಭಾಗ್ಯವತಿ
AKHFASH	ಅಖ್ಫಾಶ್
AKHIL	ಅಖಿಲ್
AKHLAAQ	ಅಖ್‌ಲಾಕ್
AKHRI MUQABLA	ಆಖರೀ ಮುಕಾಬಲಾ
AKHTAR	ಅಖ್ತರ್
AKI	ಅಕಿ
AKIL	ಅಕಿಲ್
AKILA DAILY	ಅಕಿಲಾ ಡೈಲಿ
AKIRA	ಅಕಿರಾ
AKMAAL	ಅಕ್ಮಾಲ್
AKMAL	ಅಕ್ಮಲ್
AKOLA JUNCTION	ಅಕೋಲಾ ಜಂಕ್ಷನ್
AKOLNER	ಅಕೋಲ್ನೇರ್
AKOSOMBO DAM	ಅಕೋಸೋಂಬೋ ಡ್ಯಾಮ್
