achers	阿克斯
maundrell	蒙德雷尔
mavroules	马弗鲁尔斯
mayerson	迈耶森
maynard	梅纳德
maynes	梅恩斯
mcansh	麦坎什
mcaulay	麦考利
mcbride	麦克布赖德
mccammon	麦卡蒙
mccrone	麦克龙
mccusker	麦卡斯克
mccutchen	麦卡琴
mcdade	麦克达德
mcelduff	麦克尔达夫
mcelhanon	麦克尔哈侬
mcginley	麦金利
mcginnis	麦金尼斯
mchendrie	麦克亨德里
mclendell	麦克伦德尔
mclin	麦克林
mclure	麦克卢尔
mcmanus	麦克马纳斯
mcnatt	麦克纳特
mcnichol	麦克尼科尔
mcninch	麦克宁奇
mcwilliams	麦克威廉斯
mealing	米林
mecollon	梅科伦
meeker	米克
mehaffy	梅哈菲
melaville	梅拉维尔
melcher	梅尔彻
memdeloff	门德洛夫
memorex	梅莫雷克斯
menotti	梅诺蒂
mermaz	梅尔马兹
merricks	梅里克斯
merry	梅里
metzger	梅茨格
meursius	默尔修斯
michler	米克勒
micou	米库
midlands	米德兰兹
millipore	米利波尔
millord	米洛德
minaev	米纳埃夫
minarik	米纳里克
minskoff	明斯科夫
minsky	明斯基
mirsky	米尔斯基
mitscherlich	米切利希
mixer	米克瑟
molinet	莫利内
molten	莫尔滕
monrian	蒙里安
montana	蒙塔纳
monticciolo	蒙蒂乔洛
moondy	蒙迪
motz	莫茨
mountgarret	芒加雷特
mowat	莫厄特
mowatt	莫厄特
mowry	莫里
moxness	莫克斯尼斯
moyer	莫耶
mulfinger	马尔芬格
musco	穆斯科
myles	迈尔斯
myres	迈尔斯
naidorf	奈多夫
naisbitt	奈斯比特
namby	南比
neden	尼登
nemirow	尼米罗
nemy	内米
nguema	恩圭马
nickerson	尼克森
niehoff	尼霍夫
nielsen	尼尔森
nierenberg	尼伦伯格
norsworthy	诺斯沃西
novy	诺维
nowlan	诺兰
nute	纽特
oberwinder	奥伯温德
oestreicher	奥斯特赖克
olsavsky	奥尔萨夫斯基
omalley	奥马利
oniel	奥尼尔
ormond	奥蒙德
orridge	奥里奇
oskar	奥斯卡
ostrow	奥斯特罗夫
ottina	奥蒂纳
ottinger	奥廷格
ottmer	奥特默
paarlberg	帕尔伯格
painton	佩因顿
pal	巴
palfrey	帕尔弗里
papworth	帕普沃斯
pargeter	帕吉特
parkes	帕克斯
parminter	帕明特
paye	帕耶
pelle	佩勒
perdita	珀迪塔
perfect	珀费克特
perla	佩拉
perli	佩尔利
pfeffer	普费弗
phair	费尔
phaneuf	法纳夫
pielou	皮卢
pier	皮尔
pigou	皮古
pilditch	皮尔迪奇
pilley	皮利
pimlott	平洛特
pinch	平奇
pipes	派普斯
pipkin	皮普金
pippard	皮帕德
pirie	皮里
pisegna	皮塞尼亚
pitman	皮特曼
pogoloff	波戈洛夫
pollock	波洛克
poulter	波尔特
preserved	普里泽夫德
prestowitz	普雷斯托维茨
priestland	普里斯特兰
probert	普罗伯特
prohaska	普罗哈斯卡
pump	庞普
pumpelly	庞佩利
punch	庞奇
puner	普纳
pym	皮姆
pyotr	彼得
quig	奎格
quintard	昆塔德
quiston	奎斯顿
qyealy	奎利
raabe	拉伯
rabinovich	拉比诺维奇
raby	雷比
rampacek	兰帕切克
ranim	拉尼姆
reavis	雷维斯
rede	里德
reighard	赖格哈德
reinertsen	赖纳特森
reines	莱因斯
rem	列姆
remmer	雷默
rene	勒内
riefler	里夫勒
rineret	赖纳勒特
rittman	里特曼
rizley	里兹利
rodahl	勒达尔
rodd	罗德
rodieck	罗迪克
roebuck	罗巴克
rogers	罗杰斯
rolf	罗尔夫
rosecrans	罗斯克兰斯
rosenbury	罗森堡
ross	罗斯
rosser	罗瑟
rossetter	罗塞特
rosskeen	罗斯金
roulier	鲁利埃
roussel	鲁塞尔
rowcroft	罗克罗夫特
rowden	罗登
rowsey	罗西
rube	鲁布
ruder	鲁德
rudisll	鲁迪西尔
ruttenberg	鲁滕伯格
ruvolo	鲁沃洛
sabavala	萨巴瓦拉
sandor	山多尔
sansome	桑瑟姆
sartent	萨滕特
satenstein	萨滕斯坦
sawyer	索耶
scamozzi	斯卡莫乔
schmick	施米克
schoellkopf	休尔科夫
schoenmann	舍恩曼
schriever	施里弗
schurz	舒尔茨
schutt	舒特
scopes	斯科普斯
secreast	西克里斯特
seeding	西丁
seibt	赛布特
senger	森杰
sevareid	塞瓦赖德
shamel	沙梅尔
shanken	尚肯
shattock	沙托克
shchukin	休金
sheley	谢利
sheran	谢兰
sherwood	舍伍德
shipstead	希普斯特德
showell	肖维尔
shurrager	舒雷格
siena	西恩纳
sigourney	西戈尼
sikora	西科拉
sillitoe	西利托
simon	西蒙德
sinclair	辛克莱
sinozich	西诺齐克
slemon	斯利蒙
smieton	斯米顿
sobin	索宾
solms	索尔姆斯
sonnen	索南
sorum	索勒姆
souers	索尔斯
sournia	苏尔尼亚
sousa	苏泽
southack	索萨克
southwick	索斯威克
sowers	索尔斯
spanton	斯潘顿
speakman	斯皮克曼
spear	斯皮尔
spector	斯佩克特
spessard	斯佩萨德
spillan	斯皮兰
spoehr	斯波尔
spranger	斯普兰热
spruks	斯普鲁克斯
stabler	斯特布勒
stahl	斯塔尔
stainer	斯坦纳
stancioff	斯坦乔夫
stanwix	斯坦威克斯
stasio	斯塔肖
steefel	斯蒂费尔
stelzle	斯特尔兹利
stepanoff	斯捷潘诺夫
stidger	斯蒂杰
stika	斯蒂卡
stockey	斯托基
stockhausen	斯托克豪森
stocks	斯托克斯
stok	斯托克
storch	斯托奇
stormzand	斯托姆赞德
stranova	斯特拉诺瓦
straumanis	斯特劳马尼斯
strauss	斯特劳斯
stray	斯特雷
stresemann	施特雷泽曼
stroh	斯特罗
strub	斯特鲁布
stutzer	施蒂策
szybala	西巴拉
talmi	塔勒米
tausig	陶西希
tazewell	塔兹韦尔
tepavac	特帕瓦茨
theron	西伦
thistle	西斯尔
thunman	桑曼
thwing	特温
tibbetts	蒂贝茨
torquato	托尔夸托
treviranus	特雷维拉努斯
ullstein	乌尔斯坦
usack	尤萨克
ute	于特
vaghi	瓦吉
vagnozzi	瓦格诺齐
valentine	瓦伦丁
vandyken	范戴肯
varn	瓦恩
veller	韦勒
vellone	维隆
venturini	文图里尼
venzke	文兹克
vinay	维奈
vinci	文西
vitgenshtein	维特根施泰因
vorise	沃里斯
voronets	沃罗涅茨
wadely	韦德利
walbrook	沃尔布鲁克
wane	韦恩
waples	韦普尔斯
warre	沃尔
warthin	沃辛
waynwright	温赖特
wedick	韦迪克
weidlein	韦德莱因
weikell	韦克尔
were	沃尔
wertzberger	沃茨伯格
wettach	韦塔克
weyand	韦安德
weygandt	韦安特
wheatley	惠特利
wheaton	惠顿
wheler	惠勒
whelpley	惠尔普利
wigdor	威格多
wikins	威金斯
wilbar	威尔伯
wilburn	威尔伯恩
willbrandt	威尔布兰特
willnott	威尔莫特
windisch	温迪施
wislicenus	维斯利策努斯
wissler	威斯勒
witke	威特克
woodes	伍兹
worden	沃登
yette	耶特
zepelin	齐普林
zepler	泽普勒
zigmund	日格蒙德
zlotnick	兹洛特尼克
